Rxn	Genes
R02778_1	[['YDR074W'], ['YMR261C'], ['YDR074W'], ['YML100W'], ['YBR126C'], ['YBR126C', 'YDR074W', 'YML100W', 'YMR261C']]
R02778_2	[['YDR074W'], ['YDR074W'], ['YDR074W']]
R01009_1	[['YPR183W'], ['YPR183W']]
R01009_2	[['YPR183W'], ['YPR183W']]
R01009_3	[['YPR183W'], ['YPR183W']]
R01009_4	[['YPR183W'], ['YPR183W']]
R01009_5	[['YPR183W'], ['YPR183W']]
R01009_6	[['YPR183W'], ['YPR183W']]
R01009_7	[['YPR183W'], ['YPR183W']]
R00086_1	[['YDL126C'], ['YML061C'], ['YOL095C'], ['YEL052W']]
R00086_2	[['YER005W'], ['YER005W'], ['YDL229W'], ['YEL031W'], ['YJL034W'], ['YJL138C'], ['YKR059W'], ['YNL209W'], ['YOR291W']]
R00086_3	[['YDL126C'], ['YEL031W']]
R00086_4	[['YAL019W'], ['YBL023C'], ['YBR073W'], ['YBR142W'], ['YBR202W'], ['YBR237W'], ['YDL031W'], ['YDL084W'], ['YDL126C'], ['YDR021W'], ['YDR190C'], ['YDR194C'], ['YDR243C'], ['YDR291W'], ['YDR334W'], ['YDR545W'], ['YEL032W'], ['YER013W'], ['YER171W'], ['YER172C'], ['YER190W'], ['YFL002C'], ['YFL066C'], ['YGL064C'], ['YGL078C'], ['YGL120C'], ['YGL150C'], ['YGL163C'], ['YGL171W'], ['YGL201C'], ['YGL251C'], ['YGR271W'], ['YGR296W'], ['YHR031C'], ['YHR065C'], ['YHR164C'], ['YHR169W'], ['YIL126W'], ['YIL143C'], ['YIR002C'], ['YJL033W'], ['YJL034W'], ['YJL050W'], ['YJL092W'], ['YJR035W'], ['YKL017C'], ['YKL078W'], ['YKR024C'], ['YKR086W'], ['YLL008W'], ['YLR274W'], ['YLR276C'], ['YLR466W'], ['YLR467W'], ['YML061C'], ['YMR106C'], ['YMR128W'], ['YMR190C'], ['YMR284W'], ['YMR290C'], ['YNL112W'], ['YNL339C'], ['YNR011C'], ['YNR038W'], ['YOL095C'], ['YOR046C'], ['YOR204W'], ['YOR396W'], ['YPL008W'], ['YPL119C'], ['YPL235W'], ['YPL283C'], ['YPR019W'], ['YER164W'], ['YGR005C']]
R00086_5	[['YER005W'], ['YER005W']]
R00086_6	[['YER005W'], ['YER005W'], ['YAL019W'], ['YBL023C'], ['YBR202W'], ['YDL031W'], ['YDL084W'], ['YDL126C'], ['YDL160C'], ['YDL229W'], ['YDR021W'], ['YDR190C'], ['YDR243C'], ['YDR334W'], ['YDR545W'], ['YEL031W'], ['YEL032W'], ['YEL077C'], ['YER171W'], ['YER176W'], ['YER190W'], ['YFL002C'], ['YFL066C'], ['YGL078C'], ['YGL120C'], ['YGL163C'], ['YGL171W'], ['YGL201C'], ['YGR271W'], ['YGR296W'], ['YHR031C'], ['YHR164C'], ['YHR169W'], ['YIL126W'], ['YIL143C'], ['YIL177C'], ['YJL033W'], ['YJL034W'], ['YJL138C'], ['YJL225C'], ['YJR035W'], ['YKL017C'], ['YKL073W'], ['YKR059W'], ['YLL008W'], ['YLL066C'], ['YLL067C'], ['YLR274W'], ['YLR397C'], ['YLR398C'], ['YLR419W'], ['YLR466W'], ['YLR467W'], ['YML061C'], ['YML133C'], ['YMR128W'], ['YMR190C'], ['YMR290C'], ['YNL112W'], ['YNL209W'], ['YNL339C'], ['YNR038W'], ['YOR046C'], ['YOR204W'], ['YOR291W'], ['YOR396W'], ['YPL008W'], ['YPL029W'], ['YPL119C'], ['YPL235W'], ['YPL283C'], ['YPR019W'], ['YPR204W'], ['YBR080C'], ['YER164W'], ['YEL052W']]
R00086_7	[['YDL126C'], ['YEL031W'], ['YJL034W'], ['YKL073W']]
R00086_8	[['YOR291W']]
R00086_9	[['YAL019W'], ['YDL126C'], ['YDR194C'], ['YEL031W'], ['YGL064C'], ['YGL120C'], ['YGR296W'], ['YKL073W'], ['YLR419W'], ['YML061C'], ['YML133C'], ['YMR128W'], ['YNL112W'], ['YOL095C'], ['YPL029W'], ['YPL283C'], ['YER164W'], ['YEL052W']]
R01978_1	[['YML126C'], ['YML126C']]
R02756_1	[['YIL124W'], ['YIL124W'], ['YIL124W']]
R02756_2	[['YIL124W'], ['YIL124W'], ['YIL124W']]
R02756_3	[['YIL124W'], ['YIL124W'], ['YIL124W']]
R02756_4	[['YIL124W'], ['YIL124W'], ['YIL124W']]
R02756_5	[['YIL124W'], ['YIL124W'], ['YIL124W']]
R07481_1	[['YML008C'], ['YML008C']]
R07481_2	[['YML008C'], ['YML008C']]
R07481_3	[['YML008C'], ['YML008C']]
R07481_4	[['YML008C'], ['YML008C']]
R00253_1	[['YPR035W'], ['YPR035W']]
R00253_2	[['YPR035W'], ['YPR035W']]
R00841_1	[['YER062C'], ['YIL053W'], ['YER062C'], ['YIL053W']]
R00841_2	[['YER062C'], ['YIL053W'], ['YER062C'], ['YIL053W']]
R01404_1	[['YKL182W'], ['YKL182W'], ['YKL182W']]
R01404_2	[['YKL182W'], ['YKL182W'], ['YKL182W']]
R01404_3	[['YBR026C'], ['YKL182W'], ['YBR026C'], ['YBR026C'], ['YKL182W'], ['YKL182W']]
R00885_1	[['YDL055C'], ['YDL055C']]
R02557_1	[['YLR209C'], ['YLR209C']]
R07763_1	[['YKL055C'], ['YKL055C'], ['YKL055C']]
R01858_1	[['YAL038W'], ['YAL038W']]
R01858_2	[['YAL038W'], ['YOR347C'], ['YAL038W'], ['YOR347C']]
R01858_3	[['YOR347C'], ['YOR347C']]
R05231	[['YCR105W'], ['YMR318C'], ['YCR105W'], ['YCR105W'], ['YMR318C'], ['YMR318C']]
R01030_1	[['YPL110C'], ['YPL110C']]
R08363_1	[['YER070W'], ['YGR180C'], ['YJL026W'], ['YER070W'], ['YGR180C'], ['YJL026W']]
R08363_2	[['YER070W'], ['YGR180C'], ['YIL066C'], ['YJL026W'], ['YER070W'], ['YIL066C'], ['YGR180C'], ['YJL026W']]
R08363_3	[['YIL066C'], ['YIL066C']]
R04444_1	[['YHR037W'], ['YHR037W'], ['YHR037W']]
R04444_2	[['YHR037W'], ['YHR037W'], ['YHR037W']]
R10852_1	[['YMR226C'], ['YMR226C'], ['YMR226C']]
R10852_2	[['YMR226C'], ['YMR226C'], ['YMR226C']]
R01618_1	[['YCL050C'], ['YDR530C'], ['YCL050C'], ['YDR530C']]
R01618_2	[['YCL050C'], ['YDR530C'], ['YCL050C'], ['YDR530C']]
R00126_1	[['YCL050C'], ['YDR530C'], ['YCL050C'], ['YDR530C']]
R00126_2	[['YCL050C'], ['YDR530C'], ['YCL050C'], ['YDR530C']]
R02702_1	[['YJR078W'], ['YJR078W']]
R01775_1	[['YJR139C'], ['YJR139C'], ['YJR139C']]
R01775_2	[['YJR139C'], ['YJR139C'], ['YJR139C']]
R00702_1	[['YHR190W'], ['YHR190W']]
R00702_2	[['YHR190W'], ['YHR190W']]
R00702_3	[['YHR190W'], ['YHR190W']]
R00702_4	[['YHR190W'], ['YHR190W']]
R00702_5	[['YHR190W'], ['YHR190W']]
R00289_1	[['YKL035W'], ['YKL035W']]
R00289_2	[['YHL012W'], ['YKL035W'], ['YKL035W'], ['YHL012W']]
R03217_1	[['YJR130C'], ['YLL058W'], ['YML082W'], ['YJR130C'], ['YLL058W'], ['YML082W']]
R03217_2	[['YJR130C'], ['YLL058W'], ['YML082W'], ['YJR130C'], ['YLL058W'], ['YML082W']]
R03291_1	[['YER023W'], ['YER023W'], ['YER023W']]
R01799_1	[['YGR046W']]
R01799_2	[['YBR029C'], ['YBR029C']]
R01799_3	[['YBR029C'], ['YBR029C']]
R01799_4	[['YBR029C'], ['YBR029C']]
R01799_5	[['YBR029C'], ['YBR029C']]
R01799_6	[['YGR046W']]
R03457	[['YOR202W'], ['YOR202W']]
R01786_1	[['YGL253W'], ['YGL253W']]
R01786_2	[['YCL040W'], ['YCL040W']]
R01786_3	[['YGL253W'], ['YGL253W']]
R01786_4	[['YCL040W'], ['YDR516C'], ['YFR053C'], ['YGL253W'], ['YLR446W'], ['YCL040W'], ['YDR516C'], ['YFR053C'], ['YGL253W'], ['YLR446W']]
R01786_5	[['YCL040W'], ['YDR516C'], ['YFR053C'], ['YGL253W'], ['YLR446W'], ['YCL040W'], ['YDR516C'], ['YFR053C'], ['YGL253W'], ['YLR446W']]
R02619_1	[['YLR027C'], ['YLR027C']]
R02619_2	[['YLR027C'], ['YLR027C']]
R02619_3	[['YKL106W'], ['YKL106W']]
R01213_1	[['YNL104C'], ['YNL104C']]
R01213_2	[['YNL104C'], ['YOR108W'], ['YNL104C'], ['YOR108W']]
R02029_1	[['YHR100C'], ['YHR100C']]
R02029_2	[['YHR100C'], ['YHR100C']]
R08359_1	[['YPR069C'], ['YPR069C']]
R08359_2	[['YPR069C'], ['YPR069C']]
R02297_1	[['YLR209C'], ['YLR209C']]
R04037_1	[['YCL030C'], ['YCL030C']]
R02922_1	[['YPR062W'], ['YPR062W']]
R02922_2	[['YPR062W'], ['YPR062W']]
R02909_1	[['YJR078W'], ['YJR078W']]
R02425_1	[['YIR027C'], ['YIR027C']]
R04771_1	[['YDR502C'], ['YLR180W'], ['YDR502C'], ['YLR180W']]
R00966_1	[['YHR128W'], ['YHR128W']]
R04972_1	[['YDR047W'], ['YDR047W']]
R04972_2	[['YDR047W'], ['YDR047W']]
R03659_1	[['YGR264C'], ['YGR264C']]
R03659_2	[['YGR171C'], ['YGR171C']]
R00344_1	[['YBR218C'], ['YGL062W'], ['YBR218C'], ['YGL062W']]
R00227_1	[['YGR015C']]
R00227_2	[['YBL015W'], ['YBL015W']]
R00227_3	[['YBL015W'], ['YBL015W'], ['YGR015C']]
