	Name	Matches
105	7-Dehydrodesmosterol	['7-Dehydrodesmosterol']
106	Carbamoyl phosphate	['Carbamoyl phosphate']
107	L-Palmitoylcarnitine	['L-Palmitoylcarnitine']
108	GDP	['GDP']
109	Acetoacetyl-[acyl-carrier protein]	['Acetoacetyl-[acyl-carrier protein]']
110	3-Oxohexanoyl-[acyl-carrier protein]	['3-Oxohexanoyl-[acyl-carrier protein]']
111	3-Oxotetradecanoyl-[acyl-carrier protein]	['3-Oxotetradecanoyl-[acyl-carrier protein]']
112	3-Hydroxy-3-methylglutaryl-CoA	['3-Hydroxy-3-methylglutaryl-CoA']
113	4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol	['4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol']
114	CDP	['CDP']
115	Glycine	['Glycine']
116	Tetradecanoyl-[acyl-carrier protein]	['Tetradecanoyl-[acyl-carrier protein]']
117	Phosphate	['Phosphate']
118	(R)-3-Hydroxybutanoyl-[acyl-carrier protein]	['(R)-3-Hydroxybutanoyl-[acyl-carrier protein]']
119	(2E)-Tetradecenoyl-[acp]	['(2E)-Tetradecenoyl-[acp]']
120	14-Demethyllanosterol	['14-Demethyllanosterol']
121	Decanoyl-[acyl-carrier protein]	['Decanoyl-[acyl-carrier protein]']
122	Putrescine	['Putrescine']
123	10-Formyltetrahydrofolate	['10-Formyltetrahydrofolate']
124	Oxoglutaric acid	['Oxoglutaric acid']
125	5'-Phosphoribosyl-4-carboxy-5-aminoimidazole	"[""5'-Phosphoribosyl-4-carboxy-5-aminoimidazole""]"
126	Orotic acid	['Orotic acid']
127	3-Oxooctanoyl-[acyl-carrier protein]	['3-Oxooctanoyl-[acyl-carrier protein]']
128	Oxalacetic acid	['Oxalacetic acid']
129	Folic acid	['Folic acid']
130	D-Ribose 5-phosphate	['D-Ribose 5-phosphate']
131	Oxidized glutathione	['Oxidized glutathione']
132	(S)-Dihydroorotate	['(S)-Dihydroorotate']
133	L-Malic acid	['L-Malic acid']
134	SAICAR	['SAICAR']
135	(R)-5-Phosphomevalonate	['(R)-5-Phosphomevalonate']
136	L-Aspartic acid	['L-Aspartic acid']
137	Orotidylic acid	['Orotidylic acid']
138	Zymosterol	['Zymosterol']
139	Palmitoyl-CoA	['Palmitoyl-CoA']
140	L-Glutamic acid	['L-Glutamic acid']
141	NADH	['NADH']
142	NADP(+)	['NADP+']
143	Glutathione	['Glutathione']
144	Dihydrofolic acid	['Dihydrofolic acid']
145	Oxygen	['Oxygen']
146	Pyruvic acid	['Pyruvic acid']
147	Geranyl diphosphate	['Geranyl diphosphate']
148	5-Phosphoribosylamine	['5-Phosphoribosylamine']
149	dCMP	['dCMP']
150	Pyrophosphate	['Pyrophosphate']
151	(2E)-Dodecenoyl-[acp]	['(2E)-Dodecenoyl-[acp]']
152	Lanosterol	['Lanosterol']
153	Ornithine	['Ornithine']
