Rxn	Genes	GPR rule
R_Complex3	[['84329'], ['684'], ['114134'], ['55858'], ['6564'], ['140679'], ['153201'], ['79751'], ['83884'], ['9016'], ['9481'], ['253512'], ['7350'], ['7351'], ['7352'], ['6576'], ['83959'], ['6548'], ['10479'], ['6550'], ['285195'], ['84679'], ['133308'], ['150159'], ['285335'], ['1497'], ['1183'], ['6556'], ['127124'], ['245973'], ['50617'], ['51606'], ['523'], ['525'], ['526'], ['528'], ['529'], ['535'], ['9114'], ['9296'], ['9550'], ['125965'], ['1327'], ['1329'], ['1339'], ['1346'], ['1347'], ['1350'], ['1351'], ['170712'], ['341947'], ['4512'], ['4513'], ['4514'], ['51241'], ['84701'], ['9377'], ['6010']]	((1183 and 51606) or (1350 and 125965 and 127124 and 1329 and 1347 and 4513 and 1351 and 4512 and 1339 and 1346 and 9377 and 51606) or (1350 and 125965 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 127124 and 1329 and 1347 and 4513 and 1351 and 341947 and 1339 and 1346 and 4512 and 9377 and 51606) or (526 and 9114 and 127124 and 51606) or (1350 and 127124 and 1329 and 1347 and 4513 and 1351 and 1346 and 1339 and 4512 and 1327 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 1327 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 50617 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 535 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 84701 and 1339 and 1346 and 9377 and 51606) or (127124 and 4512 and 170712 and 535 and 51606 and 4513) or (4514 and 4512 and 170712 and 535 and 51606 and 4513) or (50617 and 127124 and 245973 and 9114 and 51606) or (245973 and 9114 and 535 and 51606) or (253512 and 51606) or (1350 and 127124 and 1347 and 4513 and 1351 and 84701 and 4512 and 9377 and 51606) or (4514 and 341947 and 4512 and 9377 and 51606 and 4513) or (50617 and 4512 and 170712 and 51606 and 4513) or (9114 and 50617 and 528 and 51606) or (50617 and 6548 and 51606) or (50617 and 127124 and 9114 and 9296 and 51606) or (4513 and 51241 and 51606) or (285335 and 51606) or (51606 and 6550) or (684 and 51606) or (7350 and 51606) or (523 and 9114 and 51606) or (525 and 9114 and 127124 and 51606) or (525 and 9114 and 51606 and 9550) or (9114 and 528 and 535 and 51606) or (529 and 50617 and 127124 and 9114 and 51606) or (529 and 9114 and 535 and 51606) or (127124 and 9114 and 535 and 9296 and 51606) or (6010 and 50617 and 51606 and 4513) or (6010 and 535) or (535 and 6548) or (6564 and 51606) or (7351 and 50617) or (7351 and 535) or (84679 and 51606) or (9550 and 170712 and 535 and 51606 and 4513) or (51606 and 4513 and 341947 and 9550)) or 133308 or 150159 or 114134 or 140679 or 55858 or 10479 or 9016 or 9481 or 6576 or 79751 or 83959 or 1497 or 84329 or 7352 or 83884 or 153201 or 6556 or 285195
R_Complex4	[['84329'], ['684'], ['114134'], ['55858'], ['6564'], ['140679'], ['153201'], ['79751'], ['83884'], ['9016'], ['9481'], ['253512'], ['7350'], ['7351'], ['7352'], ['6576'], ['83959'], ['6548'], ['10479'], ['6550'], ['285195'], ['84679'], ['133308'], ['150159'], ['285335'], ['1497'], ['1183'], ['6556'], ['127124'], ['245973'], ['50617'], ['51606'], ['523'], ['525'], ['526'], ['528'], ['529'], ['535'], ['9114'], ['9296'], ['9550'], ['125965'], ['1327'], ['1329'], ['1339'], ['1346'], ['1347'], ['1350'], ['1351'], ['170712'], ['341947'], ['4512'], ['4513'], ['4514'], ['51241'], ['84701'], ['9377'], ['6010']]	((1183 and 51606) or (1350 and 125965 and 127124 and 1329 and 1347 and 4513 and 1351 and 4512 and 1339 and 1346 and 9377 and 51606) or (1350 and 125965 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 127124 and 1329 and 1347 and 4513 and 1351 and 341947 and 1339 and 1346 and 4512 and 9377 and 51606) or (526 and 9114 and 127124 and 51606) or (1350 and 127124 and 1329 and 1347 and 4513 and 1351 and 1346 and 1339 and 4512 and 1327 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 1327 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 50617 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 535 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 84701 and 1339 and 1346 and 9377 and 51606) or (127124 and 4512 and 170712 and 535 and 51606 and 4513) or (4514 and 4512 and 170712 and 535 and 51606 and 4513) or (50617 and 127124 and 245973 and 9114 and 51606) or (245973 and 9114 and 535 and 51606) or (253512 and 51606) or (1350 and 127124 and 1347 and 4513 and 1351 and 84701 and 4512 and 9377 and 51606) or (4514 and 341947 and 4512 and 9377 and 51606 and 4513) or (50617 and 4512 and 170712 and 51606 and 4513) or (9114 and 50617 and 528 and 51606) or (50617 and 6548 and 51606) or (50617 and 127124 and 9114 and 9296 and 51606) or (4513 and 51241 and 51606) or (285335 and 51606) or (51606 and 6550) or (684 and 51606) or (7350 and 51606) or (523 and 9114 and 51606) or (525 and 9114 and 127124 and 51606) or (525 and 9114 and 51606 and 9550) or (9114 and 528 and 535 and 51606) or (529 and 50617 and 127124 and 9114 and 51606) or (529 and 9114 and 535 and 51606) or (127124 and 9114 and 535 and 9296 and 51606) or (6010 and 50617 and 51606 and 4513) or (6010 and 535) or (535 and 6548) or (6564 and 51606) or (7351 and 50617) or (7351 and 535) or (84679 and 51606) or (9550 and 170712 and 535 and 51606 and 4513) or (51606 and 4513 and 341947 and 9550)) or 133308 or 150159 or 114134 or 140679 or 55858 or 10479 or 9016 or 9481 or 6576 or 79751 or 83959 or 1497 or 84329 or 7352 or 83884 or 153201 or 6556 or 285195
R_ATPsynthase	[['84329'], ['684'], ['114134'], ['55858'], ['6564'], ['140679'], ['153201'], ['79751'], ['83884'], ['9016'], ['9481'], ['253512'], ['7350'], ['7351'], ['7352'], ['6576'], ['83959'], ['6548'], ['10479'], ['6550'], ['285195'], ['84679'], ['133308'], ['150159'], ['285335'], ['1497'], ['1183'], ['6556'], ['127124'], ['245973'], ['50617'], ['51606'], ['523'], ['525'], ['526'], ['528'], ['529'], ['535'], ['9114'], ['9296'], ['9550'], ['125965'], ['1327'], ['1329'], ['1339'], ['1346'], ['1347'], ['1350'], ['1351'], ['170712'], ['341947'], ['4512'], ['4513'], ['4514'], ['51241'], ['84701'], ['9377'], ['6010']]	((1183 and 51606) or (1350 and 125965 and 127124 and 1329 and 1347 and 4513 and 1351 and 4512 and 1339 and 1346 and 9377 and 51606) or (1350 and 125965 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 127124 and 1329 and 1347 and 4513 and 1351 and 341947 and 1339 and 1346 and 4512 and 9377 and 51606) or (526 and 9114 and 127124 and 51606) or (1350 and 127124 and 1329 and 1347 and 4513 and 1351 and 1346 and 1339 and 4512 and 1327 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 1327 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 50617 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 535 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 84701 and 1339 and 1346 and 9377 and 51606) or (127124 and 4512 and 170712 and 535 and 51606 and 4513) or (4514 and 4512 and 170712 and 535 and 51606 and 4513) or (50617 and 127124 and 245973 and 9114 and 51606) or (245973 and 9114 and 535 and 51606) or (253512 and 51606) or (1350 and 127124 and 1347 and 4513 and 1351 and 84701 and 4512 and 9377 and 51606) or (4514 and 341947 and 4512 and 9377 and 51606 and 4513) or (50617 and 4512 and 170712 and 51606 and 4513) or (9114 and 50617 and 528 and 51606) or (50617 and 6548 and 51606) or (50617 and 127124 and 9114 and 9296 and 51606) or (4513 and 51241 and 51606) or (285335 and 51606) or (51606 and 6550) or (684 and 51606) or (7350 and 51606) or (523 and 9114 and 51606) or (525 and 9114 and 127124 and 51606) or (525 and 9114 and 51606 and 9550) or (9114 and 528 and 535 and 51606) or (529 and 50617 and 127124 and 9114 and 51606) or (529 and 9114 and 535 and 51606) or (127124 and 9114 and 535 and 9296 and 51606) or (6010 and 50617 and 51606 and 4513) or (6010 and 535) or (535 and 6548) or (6564 and 51606) or (7351 and 50617) or (7351 and 535) or (84679 and 51606) or (9550 and 170712 and 535 and 51606 and 4513) or (51606 and 4513 and 341947 and 9550)) or 133308 or 150159 or 114134 or 140679 or 55858 or 10479 or 9016 or 9481 or 6576 or 79751 or 83959 or 1497 or 84329 or 7352 or 83884 or 153201 or 6556 or 285195
R_GCL	[['2730'], ['2729'], ['2729', '2730']]	2730 and 2729
R_GSS	[['2937']]	(2937)
R_SOD2	[['6648'], ['6647']]	6647 or 6648
R_GPmit	[['2876']]	(2876)
R_mGSRnadh	[]	
R_mGSRnadph	[]	
R_TrasportGSH	[['6588'], ['5663'], ['10786'], ['57030'], ['57084'], ['6582'], ['121260'], ['51296'], ['6565'], ['6564'], ['6575'], ['1468'], ['114789'], ['79085'], ['29957'], ['9016'], ['253512'], ['5250'], ['142680'], ['10568'], ['6569'], ['5243'], ['1080'], ['9429'], ['1244'], ['4363'], ['6890'], ['6891'], ['23457'], ['177'], ['25825'], ['5225'], ['6382'], ['3117'], ['3119'], ['972'], ['3105'], ['567'], ['6892'], ['10269']]	((3119 and 3117 and 1080) or (3105 and 567 and 3117) or (6890 and 3105 and 6892) or (3119 and 6892 and 3117) or (3119 and 3105 and 6892) or (3119 and 972 and 5663) or (3119 and 3117 and 5663) or (6890 and 6891 and 6892) or (3117 and 972)) or 29957 or 121260 or 57084 or 1468 or 4363 or 9016 or 51296 or 6564 or 9429 or 5243 or 6588 or 1244 or 10269 or 114789 or 25825 or 6565 or 6575 or 6582 or 23457 or 5250 or 253512 or 6569 or 142680 or 10568 or 79085 or 57030 or 6382 or 5225 or 177 or 10786
