Rxn	Genes	GPR rule
R_SLC25A10_4	[['6588'], ['10786'], ['57030'], ['57084'], ['6575'], ['1468'], ['114789'], ['79085'], ['29957'], ['9016'], ['253512'], ['5250'], ['64849'], ['9058'], ['284111'], ['142680'], ['10568'], ['6569']]	9058 or 114789 or 29957 or 6575 or 57084 or 79085 or 1468 or 9016 or 57030 or 5250 or 253512 or 64849 or 6569 or 284111 or 142680 or 10786 or 10568 or 6588
R_CA12_CA2_CA9_CA14_CA1_CA3_CA4_CA7_CA13	[['759'], ['11238'], ['377677'], ['760'], ['761'], ['762'], ['763'], ['765'], ['766'], ['768']]	759 or 377677 or 760 or 761 or 766 or 768 or 765 or 762 or 11238 or 763
R_CA5B_CA5A	[['11238'], ['763']]	763 or 11238
R_TransportGln	[['84329'], ['684'], ['114134'], ['55858'], ['6564'], ['140679'], ['55238'], ['81539'], ['124565'], ['54407'], ['153201'], ['153129'], ['6510'], ['79751'], ['83884'], ['9016'], ['9481'], ['253512'], ['7350'], ['7351'], ['7352'], ['6576'], ['6542'], ['23428'], ['9057'], ['8140'], ['83959'], ['6548'], ['10479'], ['6550'], ['285195'], ['84679'], ['133308'], ['150159'], ['285335'], ['1497'], ['1183'], ['6556'], ['127124'], ['245973'], ['50617'], ['51606'], ['523'], ['525'], ['526'], ['528'], ['529'], ['535'], ['9114'], ['9296'], ['9550'], ['125965'], ['1327'], ['1329'], ['1339'], ['1346'], ['1347'], ['1350'], ['1351'], ['170712'], ['341947'], ['4512'], ['4513'], ['4514'], ['51241'], ['84701'], ['9377'], ['6010']]	((1183 and 51606) or (1350 and 125965 and 127124 and 1329 and 1347 and 4513 and 1351 and 4512 and 1339 and 1346 and 9377 and 51606) or (1350 and 125965 and 1329 and 1347 and 23428 and 4514 and 1351 and 4512 and 1339 and 1346 and 9377) or (1350 and 125965 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 127124 and 1329 and 1347 and 4513 and 1351 and 341947 and 1339 and 1346 and 4512 and 9377 and 51606) or (526 and 9114 and 127124 and 51606) or (1350 and 127124 and 1329 and 1347 and 4513 and 1351 and 1346 and 1339 and 4512 and 1327 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 1327 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 50617 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 535 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 84701 and 1339 and 1346 and 9377 and 51606) or (153129 and 51606) or (127124 and 4512 and 170712 and 535 and 51606 and 4513) or (4514 and 4512 and 170712 and 535 and 51606 and 4513) or (1350 and 1351 and 4512 and 1327 and 1347 and 23428 and 9377) or (170712 and 23428 and 4512) or (1350 and 1347 and 23428 and 4514 and 1351 and 341947 and 4512 and 9377) or (1350 and 1347 and 23428 and 4514 and 1351 and 84701 and 4512 and 9377) or (50617 and 127124 and 245973 and 9114 and 51606) or (245973 and 9114 and 535 and 51606) or (253512 and 51606) or (6510 and 535 and 4512 and 51606) or (50617 and 4512 and 170712 and 51606 and 4513) or (9114 and 50617 and 528 and 51606) or (50617 and 6548 and 51606) or (50617 and 127124 and 9114 and 9296 and 51606) or (4513 and 51241 and 51606) or (285335 and 51606) or (51606 and 6550) or (684 and 51606) or (7350 and 51606) or (523 and 9114 and 51606) or (525 and 9114 and 127124 and 51606) or (525 and 9114 and 51606 and 9550) or (9114 and 528 and 535 and 51606) or (529 and 50617 and 127124 and 9114 and 51606) or (529 and 9114 and 535 and 51606) or (127124 and 9114 and 535 and 9296 and 51606) or (6010 and 23428) or (6010 and 50617 and 51606 and 4513) or (6010 and 535) or (535 and 6548) or (6564 and 51606) or (7351 and 50617) or (7351 and 535) or (1350 and 8140 and 125965 and 1329 and 1347 and 4513 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 8140 and 1329 and 1347 and 4513 and 1351 and 1346 and 1339 and 1327 and 9377 and 51606) or (170712 and 8140 and 51606 and 4513) or (1350 and 8140 and 1347 and 4513 and 4514 and 1351 and 341947 and 9377 and 51606) or (8140 and 6510) or (1350 and 8140 and 1347 and 4513 and 4514 and 1351 and 84701 and 9377 and 51606) or (84679 and 51606) or (1350 and 127124 and 1347 and 4513 and 1351 and 84701 and 4512 and 9377 and 51606) or (9550 and 170712 and 535 and 51606 and 4513) or (4514 and 9550 and 341947 and 51606 and 4513) or (6510 and 9550)) or 133308 or 150159 or 79751 or 83884 or 6556 or 114134 or 140679 or 55858 or 9016 or 9481 or 81539 or 285195 or 9057 or 124565 or 83959 or 55238 or 6542 or 1497 or 10479 or 84329 or 54407 or 7352 or 153201 or 6576
R_GLS2	[['2744'], ['56474'], ['1503'], ['790']]	1503 or 790 or 2744 or 56474
R_TransportGlu	[['84329'], ['5663'], ['684'], ['114134'], ['57030'], ['57084'], ['246213'], ['55867'], ['6582'], ['55858'], ['121260'], ['6565'], ['6564'], ['140679'], ['55238'], ['81539'], ['124565'], ['54407'], ['153201'], ['153129'], ['6505'], ['6512'], ['6507'], ['6506'], ['6511'], ['6510'], ['8604'], ['10165'], ['79751'], ['83733'], ['83884'], ['9016'], ['9481'], ['253512'], ['7350'], ['7351'], ['7352'], ['6576'], ['6542'], ['23657'], ['6520'], ['9057'], ['8140'], ['83959'], ['6548'], ['10479'], ['6550'], ['285195'], ['84679'], ['133308'], ['150159'], ['285335'], ['1497'], ['64849'], ['9058'], ['284111'], ['1183'], ['6556'], ['5243'], ['6890'], ['6891'], ['23457'], ['127124'], ['245973'], ['50617'], ['51606'], ['523'], ['525'], ['526'], ['528'], ['529'], ['535'], ['9114'], ['9296'], ['9550'], ['125965'], ['1327'], ['1329'], ['1339'], ['1346'], ['1347'], ['1350'], ['1351'], ['170712'], ['341947'], ['4512'], ['4513'], ['4514'], ['51241'], ['84701'], ['9377'], ['177'], ['25825'], ['5225'], ['6010'], ['6382'], ['3117'], ['3119'], ['972'], ['3105'], ['567'], ['6892'], ['10269']]	((121260 and 51606) or (1350 and 3119 and 125965 and 1329 and 1347 and 3117 and 4513 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 125965 and 1347 and 4513 and 4514 and 1351 and 4512 and 1339 and 1346 and 9377 and 51606) or (1350 and 125965 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 3119 and 125965 and 127124 and 3117 and 1347 and 4513 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 3119 and 127124 and 1329 and 1347 and 3117 and 4513 and 1351 and 1346 and 1339 and 1327 and 9377 and 51606) or (3119 and 50617 and 127124 and 170712 and 3117 and 51606 and 4513) or (1339 and 1350 and 127124 and 1329 and 1347 and 4513 and 1351 and 341947 and 4512 and 1346 and 9377 and 51606) or (525 and 9114 and 127124 and 51606) or (526 and 9114 and 127124 and 51606) or (529 and 127124 and 9114 and 535 and 51606) or (3119 and 50617 and 127124 and 5663 and 3117 and 51606) or (6506 and 3119 and 127124 and 3117 and 535 and 51606) or (3119 and 127124 and 6520 and 84701 and 3117 and 51606 and 4513) or (50617 and 127124 and 9114 and 9296 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 50617 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 84701 and 1339 and 1346 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 535 and 9377 and 51606) or (1350 and 8140 and 1347 and 4513 and 4514 and 1351 and 84701 and 1339 and 1346 and 9377 and 51606) or (50617 and 127124 and 245973 and 9114 and 51606) or (245973 and 9114 and 535 and 51606) or (25825 and 51606) or (3119 and 6520 and 3105 and 535 and 3117 and 51606) or (6520 and 4512 and 3105 and 535 and 51606) or (567 and 6520 and 3105 and 535 and 51606) or (6892 and 6890 and 3105 and 535 and 51606) or (3105 and 8140 and 6520 and 51606) or (6520 and 3105 and 535 and 51606 and 9550) or (1350 and 3119 and 3117 and 1347 and 4513 and 4514 and 1351 and 341947 and 1339 and 1346 and 9377 and 51606) or (3119 and 523 and 6520 and 51606) or (3119 and 6892 and 3117 and 535 and 51606) or (3119 and 5663 and 3117 and 51606 and 972) or (1350 and 1329 and 1347 and 4513 and 4514 and 1351 and 4512 and 1339 and 1346 and 1327 and 9377 and 51606) or (50617 and 4514 and 4512 and 170712 and 51606 and 4513) or (6506 and 4514 and 4512 and 535 and 51606) or (50617 and 4514 and 6520 and 9550 and 51606 and 4513) or (50617 and 6548 and 51606) or (6890 and 6891 and 50617 and 51606) or (4513 and 51241 and 51606) or (1183 and 51606) or (153129 and 51606) or (51606 and 177) or (253512 and 51606) or (285335 and 51606) or (5243 and 51606) or (57030 and 51606) or (6010 and 4513 and 535 and 51606) or (6382 and 51606) or (6505 and 51606) or (6507 and 51606 and 4513) or (8140 and 6510 and 51606) or (6512 and 51606) or (51606 and 6550) or (6564 and 51606) or (51606 and 6565) or (684 and 51606) or (7350 and 51606) or (525 and 9114 and 9550) or (9114 and 50617 and 528 and 51606) or (528 and 9114 and 535) or (529 and 9114 and 50617 and 51606) or (3119 and 4514 and 170712 and 3117 and 535 and 4513) or (4514 and 5663 and 535 and 9550) or (535 and 6548) or (6890 and 6891 and 6892 and 535) or (7351 and 535) or (9114 and 535 and 9296) or (5663 and 4514 and 4512) or (567 and 6520 and 3117 and 1327 and 51606 and 4513) or (567 and 50617 and 51606) or (567 and 523 and 6520) or (567 and 6520 and 84701 and 3117 and 4513) or (6010 and 50617) or (3119 and 3117 and 6510 and 535) or (6510 and 535 and 4512) or (6510 and 9550) or (6892 and 4512) or (7351 and 50617) or (8140 and 125965 and 1347 and 4513 and 4514 and 1351 and 1346 and 1339 and 9377) or (8140 and 1329 and 1347 and 4513 and 4514 and 1351 and 1346 and 1339 and 1327 and 9377) or (170712 and 8140 and 4514 and 4513) or (8140 and 4513 and 4514 and 1351 and 341947 and 1339 and 1346 and 9377) or (8140 and 5663) or (6506 and 8140) or (8140 and 6892) or (84679 and 51606) or (4514 and 6520 and 4512 and 84701 and 4513) or (523 and 9114) or (1339 and 4514 and 9550 and 1346 and 1327 and 4513) or (170712 and 4513 and 4514 and 9550) or (4513 and 4514 and 341947 and 9550) or (6506 and 9550) or (6892 and 9550)) or 150159 or 133308 or 57084 or 79751 or 64849 or 284111 or 23657 or 83884 or 6556 or 114134 or 140679 or 55858 or 9016 or 9481 or 81539 or 285195 or 10269 or 9058 or 8604 or 9057 or 124565 or 246213 or 23457 or 6582 or 55867 or 83959 or 55238 or 6511 or 6542 or 1497 or 10479 or 5225 or 10165 or 84329 or 54407 or 7352 or 83733 or 153201 or 6576
R_GLS	[['2744'], ['27165']]	27165 or 2744
R_GS	[['2752']]	(2752)
R_PPAT	[['5471']]	(5471)
R_ADSS_ADSSL1	[['122622'], ['159']]	122622 or 159
R_TNRC6B_ADSL_1	[['158']]	(158)
R_GART_1	[['2618']]	(2618)
R_GART_2	[['2618']]	(2618)
R_PFAS	[['5198']]	(5198)
R_OGDH_GART_OGDHL	[['2618']]	(2618)
R_PAICS_1	[['10606']]	(10606)
R_PAICS_2	[['10606']]	(10606)
R_TNRC6B_ADSL_2	[['158']]	(158)
R_ATIC_1	[]	
R_ATIC_2	[]	
R_GMPR2_GMPR	[]	
R_GUK1_1	[['2987'], ['221264']]	2987 or 221264
R_RRM2B_TXN_RRM1_RRM2B_1	[]	
R_GUK1_2	[['2987'], ['221264']]	2987 or 221264
R_AK2_TAF9_AK1_AK7_AK3_AK5_AKD1_AK4_AK8_1	[['26289'], ['102157402'], ['122481'], ['158067'], ['203'], ['204']]	122481 or 204 or 26289 or 102157402 or 203 or 158067
R_RRM2B_TXN_RRM1_RRM2B_2	[]	
R_AK	[['26289'], ['221264']]	221264 or 26289
R_IMPDH2	[]	
R_GMPS	[]	
R_CAD_1	[['790']]	(790)
R_CAD_2	[['790']]	(790)
R_CAD_3	[['790']]	(790)
R_DHODH	[['1723']]	(1723)
R_UMPS_1	[['7372']]	(7372)
R_UMPS_2	[['7372']]	(7372)
R_CMPK2_CMPK1_1	[['51727'], ['221264']]	51727 or 221264
R_RRM2B_TXN_RRM1_RRM2_1	[]	
R_TYMS	[['7298']]	(7298)
R_CMPK1_DTYMK	[['221264']]	(221264)
R_NME2_NME3_NME4_NME5_NME2P1_NME7_NME6_NME1_NME2_3	[['4831'], ['654364'], ['4830'], ['122481'], ['129607'], ['158067'], ['203'], ['205'], ['221264'], ['26289'], ['29922'], ['4832'], ['51727']]	51727 or 221264 or 122481 or 4832 or 4831 or 205 or 26289 or 4830 or 129607 or 654364 or 203 or 158067 or 29922
R_NME2_NME3_NME4_NME5_NME2P1_NME7_NME6_NME1_NME2_4	[['4831'], ['654364'], ['4830'], ['122481'], ['129607'], ['158067'], ['203'], ['205'], ['221264'], ['26289'], ['29922'], ['4832'], ['51727']]	51727 or 221264 or 122481 or 4832 or 4831 or 205 or 26289 or 4830 or 129607 or 654364 or 203 or 158067 or 29922
R_CMPK2_CMPK1_2	[['51727'], ['221264'], ['129607']]	51727 or 221264 or 129607
R_CTPS2_GATM_CTPS1	[['56474'], ['1503']]	1503 or 56474
R_RRM2B_TXN_RRM1_RRM2_2	[]	
R_CMPK2_CMPK1_3	[['51727'], ['221264'], ['129607']]	51727 or 221264 or 129607
R_GLUD1_GLUD2_1	[]	
R_GLUD1_GLUD2_2	[]	
R_GOT1_GOT2_GOT1L1_2	[['2805'], ['2806'], ['137362']]	2805 or 137362 or 2806
R_GOT2_GOT1L1_1	[['2806']]	(2806)
R_SLC25A13_SLC25A12	[['84329'], ['5663'], ['684'], ['114134'], ['57030'], ['57084'], ['246213'], ['55867'], ['6582'], ['55858'], ['121260'], ['6565'], ['6564'], ['140679'], ['55238'], ['81539'], ['124565'], ['54407'], ['153201'], ['153129'], ['6505'], ['6512'], ['6507'], ['6506'], ['6511'], ['6510'], ['8604'], ['10165'], ['79751'], ['83733'], ['83884'], ['9016'], ['9481'], ['253512'], ['7350'], ['7351'], ['7352'], ['6576'], ['123096'], ['6542'], ['6541'], ['23657'], ['6520'], ['9057'], ['8140'], ['83959'], ['6548'], ['10479'], ['6550'], ['285195'], ['84679'], ['133308'], ['150159'], ['285335'], ['1497'], ['54896'], ['64849'], ['9058'], ['284111'], ['1183'], ['6556'], ['5243'], ['6890'], ['6891'], ['23457'], ['127124'], ['245973'], ['50617'], ['51606'], ['523'], ['525'], ['526'], ['528'], ['529'], ['535'], ['9114'], ['9296'], ['9550'], ['125965'], ['1327'], ['1329'], ['1339'], ['1346'], ['1347'], ['1350'], ['1351'], ['170712'], ['341947'], ['4512'], ['4513'], ['4514'], ['51241'], ['84701'], ['9377'], ['177'], ['25825'], ['5225'], ['6010'], ['6382'], ['3117'], ['3119'], ['972'], ['3105'], ['567'], ['6892'], ['10269']]	((121260 and 51606) or (1350 and 3119 and 125965 and 1329 and 1347 and 3117 and 4513 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 125965 and 1347 and 4513 and 4514 and 1351 and 4512 and 1339 and 1346 and 9377 and 51606) or (1350 and 125965 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 3119 and 125965 and 127124 and 3117 and 1347 and 4513 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 3119 and 127124 and 1329 and 1347 and 3117 and 4513 and 1351 and 1346 and 1339 and 1327 and 9377 and 51606) or (3119 and 50617 and 127124 and 170712 and 3117 and 51606 and 4513) or (1339 and 1350 and 127124 and 1329 and 1347 and 4513 and 1351 and 341947 and 4512 and 1346 and 9377 and 51606) or (525 and 9114 and 127124 and 51606) or (526 and 9114 and 127124 and 51606) or (529 and 127124 and 9114 and 535 and 51606) or (3119 and 50617 and 127124 and 5663 and 3117 and 51606) or (6506 and 3119 and 127124 and 3117 and 535 and 51606) or (3119 and 127124 and 6520 and 84701 and 3117 and 51606 and 4513) or (50617 and 127124 and 9114 and 9296 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 50617 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 84701 and 1339 and 1346 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 535 and 9377 and 51606) or (1350 and 8140 and 1347 and 4513 and 4514 and 1351 and 84701 and 1339 and 1346 and 9377 and 51606) or (50617 and 127124 and 245973 and 9114 and 51606) or (245973 and 9114 and 535 and 51606) or (25825 and 51606) or (3119 and 6520 and 3105 and 535 and 3117 and 51606) or (6520 and 4512 and 3105 and 535 and 51606) or (567 and 6520 and 3105 and 535 and 51606) or (6892 and 6890 and 3105 and 535 and 51606) or (3105 and 8140 and 6520 and 51606) or (6520 and 3105 and 535 and 51606 and 9550) or (1350 and 3119 and 3117 and 1347 and 4513 and 4514 and 1351 and 341947 and 1339 and 1346 and 9377 and 51606) or (3119 and 523 and 6520 and 51606) or (3119 and 6892 and 3117 and 535 and 51606) or (3119 and 5663 and 3117 and 51606 and 972) or (1350 and 1329 and 1347 and 4513 and 4514 and 1351 and 4512 and 1339 and 1346 and 1327 and 9377 and 51606) or (50617 and 4514 and 4512 and 170712 and 51606 and 4513) or (6506 and 4514 and 4512 and 535 and 51606) or (50617 and 4514 and 6520 and 9550 and 51606 and 4513) or (50617 and 6548 and 51606) or (6890 and 6891 and 50617 and 51606) or (4513 and 51241 and 51606) or (1183 and 51606) or (153129 and 51606) or (51606 and 177) or (253512 and 51606) or (285335 and 51606) or (5243 and 51606) or (57030 and 51606) or (6010 and 4513 and 535 and 51606) or (6382 and 51606) or (6505 and 51606) or (6507 and 51606 and 4513) or (8140 and 6510 and 51606) or (6512 and 51606) or (51606 and 6550) or (6564 and 51606) or (51606 and 6565) or (684 and 51606) or (7350 and 51606) or (525 and 9114 and 9550) or (9114 and 50617 and 528 and 51606) or (528 and 9114 and 535) or (529 and 9114 and 50617 and 51606) or (3119 and 4514 and 170712 and 3117 and 535 and 4513) or (4514 and 5663 and 535 and 9550) or (535 and 6548) or (6890 and 6891 and 6892 and 535) or (7351 and 535) or (9114 and 535 and 9296) or (5663 and 4514 and 4512) or (567 and 6520 and 3117 and 1327 and 51606 and 4513) or (567 and 50617 and 51606) or (567 and 523 and 6520) or (567 and 6520 and 84701 and 3117 and 4513) or (6010 and 50617) or (3119 and 3117 and 6510 and 535) or (6510 and 535 and 4512) or (6510 and 9550) or (6541 and 51606) or (6892 and 4512) or (7351 and 50617) or (8140 and 125965 and 1347 and 4513 and 4514 and 1351 and 1346 and 1339 and 9377) or (8140 and 1329 and 1347 and 4513 and 4514 and 1351 and 1346 and 1339 and 1327 and 9377) or (170712 and 8140 and 4514 and 4513) or (8140 and 4513 and 4514 and 1351 and 341947 and 1339 and 1346 and 9377) or (8140 and 5663) or (6506 and 8140) or (8140 and 6892) or (84679 and 51606) or (4514 and 6520 and 4512 and 84701 and 4513) or (523 and 9114) or (1339 and 4514 and 9550 and 1346 and 1327 and 4513) or (170712 and 4513 and 4514 and 9550) or (4513 and 4514 and 341947 and 9550) or (6506 and 9550) or (6892 and 9550)) or 150159 or 133308 or 57084 or 79751 or 64849 or 284111 or 23657 or 83884 or 6556 or 114134 or 123096 or 140679 or 55858 or 9016 or 9481 or 81539 or 285195 or 10269 or 9058 or 8604 or 9057 or 124565 or 246213 or 23457 or 6582 or 55867 or 83959 or 55238 or 6511 or 54896 or 6542 or 1497 or 10479 or 5225 or 10165 or 84329 or 54407 or 7352 or 83733 or 153201 or 6576
R_FH_3	[]	
R_CPS1	[['1373']]	(1373)
R_OTC_LEFTY1	[['5009']]	(5009)
R_SLC25A15_SLC25A2_1	[['84329'], ['684'], ['114134'], ['55858'], ['6564'], ['140679'], ['55238'], ['81539'], ['124565'], ['54407'], ['153201'], ['153129'], ['6510'], ['79751'], ['83884'], ['10166'], ['9016'], ['9481'], ['253512'], ['7350'], ['7351'], ['7352'], ['6576'], ['123096'], ['6542'], ['6541'], ['9057'], ['8140'], ['83959'], ['6548'], ['10479'], ['6550'], ['285195'], ['84679'], ['133308'], ['150159'], ['285335'], ['1497'], ['1183'], ['6556'], ['127124'], ['245973'], ['50617'], ['51606'], ['523'], ['525'], ['526'], ['528'], ['529'], ['535'], ['9114'], ['9296'], ['9550'], ['125965'], ['1327'], ['1329'], ['1339'], ['1346'], ['1347'], ['1350'], ['1351'], ['170712'], ['341947'], ['4512'], ['4513'], ['4514'], ['51241'], ['84701'], ['9377'], ['6010']]	((1183 and 51606) or (1350 and 125965 and 127124 and 1329 and 1347 and 4513 and 1351 and 4512 and 1339 and 1346 and 9377 and 51606) or (1350 and 125965 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 127124 and 1329 and 1347 and 4513 and 1351 and 341947 and 1339 and 1346 and 4512 and 9377 and 51606) or (526 and 9114 and 127124 and 51606) or (1350 and 127124 and 1329 and 1347 and 4513 and 1351 and 1346 and 1339 and 4512 and 1327 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 1327 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 50617 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 535 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 84701 and 1339 and 1346 and 9377 and 51606) or (153129 and 51606) or (127124 and 4512 and 170712 and 535 and 51606 and 4513) or (4514 and 4512 and 170712 and 535 and 51606 and 4513) or (50617 and 127124 and 245973 and 9114 and 51606) or (245973 and 9114 and 535 and 51606) or (253512 and 51606) or (6510 and 535 and 4512 and 51606) or (1350 and 127124 and 1347 and 4513 and 1351 and 84701 and 4512 and 9377 and 51606) or (1350 and 8140 and 1347 and 4513 and 4514 and 1351 and 341947 and 9377 and 51606) or (50617 and 4512 and 170712 and 51606 and 4513) or (9114 and 50617 and 528 and 51606) or (50617 and 6548 and 51606) or (50617 and 127124 and 9114 and 9296 and 51606) or (4513 and 51241 and 51606) or (285335 and 51606) or (51606 and 6550) or (684 and 51606) or (7350 and 51606) or (523 and 9114 and 51606) or (525 and 9114 and 127124 and 51606) or (525 and 9114 and 51606 and 9550) or (9114 and 528 and 535 and 51606) or (529 and 50617 and 127124 and 9114 and 51606) or (529 and 9114 and 535 and 51606) or (127124 and 9114 and 535 and 9296 and 51606) or (6010 and 50617 and 51606 and 4513) or (6010 and 535) or (6541 and 51606) or (535 and 6548) or (6564 and 51606) or (7351 and 50617) or (7351 and 535) or (1350 and 8140 and 125965 and 1329 and 1347 and 4513 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 8140 and 1329 and 1347 and 4513 and 1351 and 1346 and 1339 and 1327 and 9377 and 51606) or (170712 and 8140 and 51606 and 4513) or (8140 and 6510) or (1350 and 8140 and 1347 and 4513 and 4514 and 1351 and 84701 and 9377 and 51606) or (84679 and 51606) or (9550 and 170712 and 535 and 51606 and 4513) or (51606 and 4513 and 341947 and 9550) or (6510 and 9550)) or 133308 or 150159 or 79751 or 83884 or 6556 or 114134 or 123096 or 140679 or 55858 or 9016 or 9481 or 81539 or 285195 or 9057 or 124565 or 83959 or 55238 or 10166 or 6542 or 1497 or 10479 or 84329 or 54407 or 7352 or 153201 or 6576
R_GCDH_SLC25A2_2	[['84329'], ['684'], ['114134'], ['55858'], ['6564'], ['140679'], ['55238'], ['81539'], ['124565'], ['54407'], ['153201'], ['153129'], ['6510'], ['79751'], ['83884'], ['10166'], ['9016'], ['9481'], ['253512'], ['7350'], ['7351'], ['7352'], ['6576'], ['123096'], ['6542'], ['6541'], ['9057'], ['8140'], ['83959'], ['6548'], ['10479'], ['6550'], ['285195'], ['84679'], ['133308'], ['150159'], ['285335'], ['1497'], ['1183'], ['6556'], ['127124'], ['245973'], ['50617'], ['51606'], ['523'], ['525'], ['526'], ['528'], ['529'], ['535'], ['9114'], ['9296'], ['9550'], ['125965'], ['1327'], ['1329'], ['1339'], ['1346'], ['1347'], ['1350'], ['1351'], ['170712'], ['341947'], ['4512'], ['4513'], ['4514'], ['51241'], ['84701'], ['9377'], ['6010']]	((1183 and 51606) or (1350 and 125965 and 127124 and 1329 and 1347 and 4513 and 1351 and 4512 and 1339 and 1346 and 9377 and 51606) or (1350 and 125965 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 127124 and 1329 and 1347 and 4513 and 1351 and 341947 and 1339 and 1346 and 4512 and 9377 and 51606) or (526 and 9114 and 127124 and 51606) or (1350 and 127124 and 1329 and 1347 and 4513 and 1351 and 1346 and 1339 and 4512 and 1327 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 1327 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 50617 and 4514 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 1346 and 1339 and 535 and 9377 and 51606) or (1350 and 1329 and 1347 and 9550 and 4513 and 4514 and 1351 and 84701 and 1339 and 1346 and 9377 and 51606) or (153129 and 51606) or (127124 and 4512 and 170712 and 535 and 51606 and 4513) or (4514 and 4512 and 170712 and 535 and 51606 and 4513) or (50617 and 127124 and 245973 and 9114 and 51606) or (245973 and 9114 and 535 and 51606) or (253512 and 51606) or (6510 and 535 and 4512 and 51606) or (1350 and 127124 and 1347 and 4513 and 1351 and 84701 and 4512 and 9377 and 51606) or (1350 and 8140 and 1347 and 4513 and 4514 and 1351 and 341947 and 9377 and 51606) or (50617 and 4512 and 170712 and 51606 and 4513) or (9114 and 50617 and 528 and 51606) or (50617 and 6548 and 51606) or (50617 and 127124 and 9114 and 9296 and 51606) or (4513 and 51241 and 51606) or (285335 and 51606) or (51606 and 6550) or (684 and 51606) or (7350 and 51606) or (523 and 9114 and 51606) or (525 and 9114 and 127124 and 51606) or (525 and 9114 and 51606 and 9550) or (9114 and 528 and 535 and 51606) or (529 and 50617 and 127124 and 9114 and 51606) or (529 and 9114 and 535 and 51606) or (127124 and 9114 and 535 and 9296 and 51606) or (6010 and 50617 and 51606 and 4513) or (6010 and 535) or (6541 and 51606) or (535 and 6548) or (6564 and 51606) or (7351 and 50617) or (7351 and 535) or (1350 and 8140 and 125965 and 1329 and 1347 and 4513 and 1351 and 1346 and 1339 and 9377 and 51606) or (1350 and 8140 and 1329 and 1347 and 4513 and 1351 and 1346 and 1339 and 1327 and 9377 and 51606) or (170712 and 8140 and 51606 and 4513) or (8140 and 6510) or (1350 and 8140 and 1347 and 4513 and 4514 and 1351 and 84701 and 9377 and 51606) or (84679 and 51606) or (9550 and 170712 and 535 and 51606 and 4513) or (51606 and 4513 and 341947 and 9550) or (6510 and 9550)) or 133308 or 150159 or 79751 or 83884 or 6556 or 114134 or 123096 or 140679 or 55858 or 9016 or 9481 or 81539 or 285195 or 9057 or 124565 or 83959 or 55238 or 10166 or 6542 or 1497 or 10479 or 84329 or 54407 or 7352 or 153201 or 6576
R_ASS1	[['445']]	(445)
R_ASL_CRCP	[['435']]	(435)
R_ARG2_ARG1	[['384'], ['383']]	384 or 383
R_OGDH_ODC1_OGDHL	[['4953']]	(4953)
R_AGAT	[['2628']]	(2628)
R_arginineAmidinohydrolase	[]	
