RxnId	EC number
R01575	['K00063', '1.1.1.302']
R09375	['K14654']
R09376	['K14654', '1.1.1.62']
R02352	['K10251', 'K10251']
R02353	['K10251', 'K10251']
R04681	['K10251', 'K10251']
R04682	['K10251', 'K10251']
R07759	['K10251', 'K10251']
R08945	['K10251', 'K10251']
R08980	['K10251', 'K10251']
R10826	['K10251', '1.1.1.330', 'K10251', '1.3.1.13']
R01730	['K00211', '2.1.2.11']
R01226	['K00606', '5.3.1.9']
R00771	['K01810']
R02739	['K01810', 'K01792', '2.5.1.87']
R02740	['K01810']
R03321	['K01810', '6.3.4.6']
R00005	['K14541', 'K14541']
R00774	['K14541', '3.5.1.54', 'K14541', '1.3.1.76']
R02864	['K02304', 'K02304']
R03947	['K02304', '4.99.1.4', 'K02304', '6.4.1.1']
R00344	['K01958', '1.2.4.1', 'K01958', '1.14.19.1']
R00014	['K00162', 'K01653', 'K01568', 'K00161', 'K01568', 'K01568', 'K01568', 'K01652']
R00209	['K00162', 'K00161', 'K00382', 'K00627']
R01699	['K00162', 'K00161']
R03270	['K00162', '6.2.1.8', 'K00161', '6.3.3.2']
R01558	['K22133', '3.2.1.207']
R05980	['K05546']
R05981	['K05546', '2.7.8.15']
R05969	['K01001', '4.3.2.10']
R04558	['K01663', '2.5.1.54']
R01826	['K01626', '3.6.1.23', 'K01626', '3.1.2.4']
R02100	['K01520']
R11896	['K01520', '2.5.1.9']
R00066	['K00793', '2.1.2.1']
R00945	['K00600', 'K00600']
R09099	['K00600', '1.1.1.102', 'K00600', '1.1.1.9']
R02978	['K04708', '3.2.1.10', '3.2.1.10']
R00801	['K01182', 'K01182', 'K01182', 'K01182', 'K01193', 'K01182', 'K01182', 'K01182']
R01718	['K01182', 'K01182', 'K01182', 'K01182', 'K01182', 'K01182', 'K01182']
R01791	['K01182', 'K01182', 'K01182', 'K01182', 'K01178', 'K01182', 'K01182', 'K01182']
R06199	['K01182', '4.3.1.17', 'K01182', '3.2.1.10', '3.2.1.10', 'K01182', '2.7.1.30', 'K01182', '3.5.5.1', 'K01178', '1.1.1.87', 'K01182', '3.2.1.10', '3.2.1.10', 'K01182', '2.3.1.199', 'K01182', '1.1.1.283']
R00220	['K17989', 'K17989', 'K01754']
R00590	['K17989', 'K17989']
R00996	['K17989', '4.3.1.19', 'K17989', 'K01754', '4.1.3.27']
R05919	['K07541', '2.7.7.5']
R00126	['K00988', 'K00988', 'K00988', 'K00988']
R00530	['K00988', 'K00988', 'K00988', 'K00988']
R01618	['K00988', '2.7.7.53', 'K00988', '2.7.7.1', 'K00988', '2.7.7.53', 'K00988', '2.7.1.33']
R00137	['K19785', 'K06210', 'K06210', 'K06210', 'K06210']
R03005	['K19785', '2.7.1.1', 'K06210', '2.7.7.18', 'K06210', '2.5.1.47', 'K06210', '2.7.7.18', 'K06210', '2.4.1.34']
R00299	['K00844', 'K00844', 'K00844', 'K00844', 'K00844']
R00760	['K00844', 'K00844', 'K00844', 'K00844', 'K00844']
R00867	['K00844', 'K00844', 'K00844', 'K00844', 'K00844']
R01326	['K00844', 'K00844', 'K00844', 'K00844', 'K00844']
R01600	['K00844', 'K00844', 'K00844', 'K00844', 'K00844']
R01786	['K00844', 'K00844', 'K00844', 'K00844', 'K00844']
R01961	['K00844', 'K00844', 'K00844', 'K00844', 'K00844']
R03920	['K00844', '3.6.1.31', 'K00844', '2.7.7.5', 'K00844', '4.4.1.13', 'K00844', '3.1.4.17', 'K00844', '1.1.1.34']
R01158	['K14152', 'K14152', 'K14152']
R01163	['K14152', 'K14152', 'K14152']
R03012	['K14152', 'K14152', 'K14152']
R04035	['K14152', 'K14152', 'K14152']
R04037	['K14152', '3.5.4.19', 'K14152', '1.1.1.23', 'K14152', '1.1.1.85']
R00994	['K00052']
R04426	['K00052']
R10052	['K00052', '2.8.1.7']
R07460	['K04487']
R11528	['K04487']
R11529	['K04487', '2.2.1.6']
R00006	['K01653', 'K01652']
R00226	['K01653', 'K01652']
R03050	['K01653', 'K01652']
R04672	['K01653', 'K01652']
R04673	['K01653', 'K01652']
R08648	['K01653', '2.7.8.5', 'K01652', '1.2.1.3']
R01801	['K00995', '1.6.5.2']
R00351	['K01647', '2.7.2.3', 'K01647', '2.3.1.158', 'K01647', '4.2.1.79']
R01512	['K00927', '2.3.1.199']
R07758	['K10245', 'K10245', 'K10246']
R07762	['K10245', 'K09458', 'K10245', 'K10246']
R09419	['K10245', 'K10245', 'K10246']
R10825	['K10245', '2.7.1.15', 'K10245', '2.1.1.359', '2.1.1.359', 'K10246', '3.1.3.11']
R01051	['K00852']
R02750	['K00852', '2.3.1.26']
R01461	['K00637', '4.2.3.1', 'K00637', '2.7.1.35']
R01466	['K01733']
R05086	['K01733', '3.1.1.3']
R02250	['K17900', 'K01046', 'K14674', 'K14674', 'K14674', 'K14674', 'K14675', 'K14674', 'K14674', 'K14674', 'K14674']
R02687	['K17900', '3.1.1.31', 'K01046', '2.3.1.50', 'K14674', 'K14674', 'K14674', 'K14674', 'K14675', '1.1.1.2', 'K14674', 'K14674', 'K14674', 'K14674']
R02035	['K01057', '1.1.1.2', 'K01057', '4.2.1.11', 'K01057', '4.2.1.11', 'K01057', '2.5.1.39']
R00746	['K00002', 'K00002']
R01041	['K00002', 'K00002']
R01481	['K00002', 'K00002']
R05231	['K00002', '1.1.1.14', 'K00002', '4.2.1.130']
R00875	['K00008', 'K00008']
R01896	['K00008', 'K00008', '1.3.98.1', 'K05351', '2.6.1.2']
R10686	['K18278', '3.5.4.3', 'K18278', '2.7.1.28', 'K18278', '1.1.1.14', 'K18278', '4.2.1.51']
R01676	['K01487']
R05976	['K00730', '1.4.1.2', 'K12670', '5.3.1.8', 'K12691', '1.3.3.6', 'K07151', '1.3.1.71', 'K12666', '1.2.1.12', 'K12669', '2.1.1.41', 'K12667', '3.1.3.4', 'K12669', '5.3.1.6', 'K12668', '2.3.3.13']
R00243	['K15371', '2.5.1.61']
R00084	['K01749', '2.5.1.87']
R00271	['K01655', '1.1.99.40', 'K01655', '1.16.3.1']
R11593	['K21618', '1.1.2.4', 'K21618', '1.1.1.67']
R00197	['K00102', '1.4.1.14']
R00093	['K00264', '1.1.1.284']
R06983	['K00121', 'K00121']
R00127	['K18532', 'K00939', 'K00939']
R01547	['K18532', '2.7.8.41', 'K00939', 'K00939']
R02030	['K08744', '6.3.4.9']
R01074	['K01942', 'K01942', 'K01942', 'K01942']
R05145	['K01942', '6.3.4.10', 'K01942', '6.3.4.11', 'K01942', '6.3.4.15', 'K01942', '2.3.3.14']
R00078	['K19054', '2.7.7.23']
R00416	['K00972', '2.7.7.83', 'K00972', '2.4.1.109']
R09844	['K05954', '4.1.1.1', 'K05955', 'K05955', '2.3.1.297', '2.3.1.297']
R00755	['K01568', '1.1.1.37', 'K01568', '1.11.1.6', 'K01568', '1.14.19.20', '1.14.19.20', 'K01568', '1.5.5.2']
R00342	['K00026', 'K00026', 'K00026']
R07136	['K00026', '1.1.1.42', 'K00026', '1.8.4.14', 'K00026', '2.1.1.114']
R00267	['K00031', 'K00031', 'K00031']
R00268	['K00031', 'K00031', 'K00031']
R01899	['K00031', '2.7.7.13', 'K00031', '2.5.1.6', 'K00031', '2.3.3.1']
R00885	['K00966', '2.3.1.51']
R02241	['K13509', 'K14674', 'K14674', 'K14674', 'K14674', 'K14674', 'K14674', 'K14674', 'K14674', 'K13519', 'K13519', 'K22831', '6.3.5.4']
R09381	['K13509', '2.7.7.2', 'K13519', '2.3.1.23', 'K13519', '4.99.1.1']
R00161	['K00953', '2.3.1.286']
R10633	['K11121', 'K11121', 'K11121', 'K11121', 'K11121']
R10634	['K11121', '3.1.3.2', 'K11121', '2.7.1.24', 'K11121', 'K11121', '3.1.2.6', 'K11121', '2.3.3.1']
R00842	['K00006', '5.4.2.11', 'K00006', '6.3.4.5']
R01518	['K01834', '1.3.1.93', 'K01834', '1.6.2.2', 'K01834', '2.7.1.49']
R07761	['K10258']
R09449	['K10258']
R10828	['K10258', '3.2.1.28']
R03509	['K01817', '2.7.1.6']
R02300	['K00605']
R04125	['K00605', '2.7.1.48']
R00513	['K00876', 'K00876']
R00516	['K00876', 'K00876']
R00517	['K00876', 'K00876']
R00962	['K00876', 'K00876']
R00964	['K00876', 'K00876']
R00967	['K00876', 'K00876']
R00968	['K00876', 'K00876']
R00970	['K00876', 'K00876']
R01548	['K00876', 'K00876']
R01549	['K00876', 'K00876']
R01880	['K00876', 'K00876']
R02091	['K00876', 'K00876']
R02096	['K00876', 'K00876']
R02097	['K00876', 'K00876']
R02327	['K00876', 'K00876']
R02332	['K00876', 'K00876']
R02371	['K00876', 'K00876']
R02372	['K00876', 'K00876']
R08232	['K00876', '1.6.5.2', 'K00876', '6.4.1.2']
R03158	['K05605']
R05064	['K05605', '1.3.3.3']
