RxnId	EC number
R01648	['K13524', 'K13524']
R04188	['K13524', '2.6.1.22', '2.6.1.22', 'K13524', '2.4.1.34']
R03118	['K00706', '3.6.1.43', 'K00706', '2.7.1.105', 'K00706', '3.1.1.3']
R01004	['K07252', '2.2.1.2']
R01827	['K00616', '1.14.18.9', 'K00616', '1.1.1.86']
R07509	['K07750']
R10057	['K07750']
R12403	['K07750', '6.3.5.3']
R04463	['K01952', '4.1.1.1']
R00578	['K01953', '2.4.2.60', 'K01953', '2.4.1.1']
R10685	['K03146', '4.2.1.22']
R00891	['K01697']
R01290	['K01697']
R04942	['K01697', '2.1.1.17']
R02056	['K16369', '4.1.1.65', 'K00551', 'K00551']
R02055	['K01613', '6.1.1.10', 'K01613', '3.7.1.5']
R03659	['K01874', 'K01874']
R04773	['K01874', '1.14.14.17', 'K01874', '3.5.4.16']
R02874	['K00511', '1.17.4.1']
R01061	['K00134', '2.7.1.17', 'K00134', '1.3.5.1', 'K00134', '2.7.7.4']
R01639	['K00854', '2.4.1.109']
R01890	['K00968']
R02590	['K00968', '1.5.1.5']
R01514	['K15918', '3.1.3.3']
R00582	['K01079']
R06264	['K03850', '2.7.1.11']
R00756	['K00850', 'K00850']
R03236	['K00850', 'K00850']
R03237	['K00850', 'K00850']
R03238	['K00850', 'K00850']
R03239	['K00850', 'K00850']
R04779	['K00850', '6.2.1.4', 'K00850', '6.4.1.2']
R00432	['K01900', 'K01900', 'K01899', 'K01899']
R00727	['K01900', '6.2.1.5', 'K01900', '3.1.1.31', 'K01899', '6.2.1.5', 'K01899', '2.7.6.2']
R00658	['K01689', '1.1.1.44', 'K01689', '1.1.1.44', 'K01689', '4.2.1.69', 'K01689', '4.2.1.11', 'K01689', '4.2.1.130']
R01528	['K00033', 'K00033', 'K00033', 'K00033']
R10221	['K00033', '1.1.1.343', 'K00033', '6.1.1.10', 'K00033', '1.1.1.343', 'K00033', '2.5.1.21']
R00424	['K01495']
R00428	['K01495']
R04639	['K01495']
R05046	['K01495']
R05048	['K01495', '2.7.7.3']
R03035	['K02201', '3.2.1.58', '3.2.1.58']
R01078	['K01012', '3.2.1.10', '3.2.1.10']
R00847	['K00864', '4.2.1.96']
R04734	['K01724', '2.7.7.9']
R00289	['K00963', '2.7.6.1', 'K00963', '1.1.1.38']
R06517	['K04709', 'K04709']
R06527	['K04709', '1.14.14.154', 'K04709', '2.7.1.25']
R05640	['K05917', 'K05917']
R05731	['K05917', 'K05917']
R12323	['K05917', '1.14.15.36', 'K05917', '4.3.2.1']
R01086	['K01755', '2.7.1.39']
R01771	['K00872', '2.7.2.11']
R00245	['K00294']
R00707	['K00294']
R00708	['K00294']
R04444	['K00294']
R04445	['K00294']
R05051	['K00294', '3.1.3.25']
R02472	['K00077', '5.4.99.7']
R03199	['K01852', '6.3.5.1']
R00257	['K01950', '3.1.3.27']
R02029	['K01094', '1.1.1.307']
R01431	['K17743']
R09477	['K17743', '1.8.1.9']
R02057	['K00993']
R04920	['K00993']
R06364	['K00993']
R07384	['K00993', '2.4.2.9']
R00966	['K00761', '2.6.1.58']
R00692	['K05821', 'K05821']
R09254	['K05821', '2.6.1.28', 'K05821', '3.5.4.12']
R01663	['K01493', '3.1.1.31']
R00702	['K00801']
R02872	['K00801']
R06223	['K00801', '3.6.1.11']
R03409	['K01514', '2.6.1.42']
R01090	['K00826', 'K00826']
R01214	['K00826', 'K00826']
R02199	['K00826', 'K00826']
R08622	['K00826', 'K00826']
R08626	['K00826', 'K00826']
R10991	['K00826', '3.1.3.2', 'K00826', '1.13.12.16']
R01130	['K00088', 'K00088', 'K00088']
R08240	['K00088', '3.2.1.10', '3.2.1.10', 'K00088', '2.6.1.13', 'K00088', '1.1.2.3']
R00540	['K01501']
R01887	['K01501']
R03093	['K01501']
R03542	['K01501']
R05591	['K01501']
R07855	['K01501', '3.2.1.26', '3.2.1.26']
R00802	['K01193']
R02410	['K01193']
R03635	['K01193']
R03921	['K01193']
R06088	['K01193', '2.3.1.16']
R00238	['K07513', 'K00626']
R00927	['K07513']
R01177	['K07513', 'K00626', '1.5.1.53']
R03778	['K07513']
R03858	['K07513']
R03991	['K07513']
R04546	['K07513']
R04742	['K07513']
R04747	['K07513']
R07891	['K07513']
R07895	['K07513']
R07899	['K07513']
R07937	['K07513']
R07953	['K07513', '1.1.5.3']
R00848	['K00111', '6.3.2.1']
R02473	['K01918', '1.2.4.2']
R00621	['K00164']
R01700	['K00164']
R03316	['K00164']
R02756	['K06123']
R04360	['K06123', '2.6.1.9']
R03243	['K00817', '2.7.1.105']
R02732	['K00900', '3.2.1.3', '3.2.1.3', '3.1.3.46', '3.1.3.46', 'K00900', '1.1.1.37']
R01790	['K01178']
R01934	['K05824']
R01936	['K05824']
R04862	['K05824', '6.3.2.51']
R04230	['K01922', '1.1.1.95']
R02208	['K12345', 'K12345']
R02497	['K12345', 'K12345']
R08954	['K12345', 'K12345']
R10242	['K12345', 'K12345']
R12299	['K12345', '1.3.1.94', 'K12345', '1.6.2.2']
R00100	['K00326', '5.3.1.16', 'K00326', '1.3.5.1', 'K00326', '2.1.1.201', 'K00326', '1.1.3.37']
R04640	['K01814', '6.2.1.3']
R04404	['K20279', 'K20279', 'K20279']
R09827	['K20279', '3.5.2.5', 'K20279', '2.3.3.13', 'K20279', '1.1.1.156']
R02425	['K01466', '3.5.3.4']
R02422	['K01477', '2.3.3.9']
R00472	['K01638', '4.3.2.3', 'K01638', '3.1.3.36']
R00776	['K01483', '1.5.1.7']
R00715	['K00290', '2.5.1.18']
R03522	['K00799', 'K00799']
R07002	['K00799', 'K00799']
R07003	['K00799', 'K00799']
R07004	['K00799', 'K00799']
R07023	['K00799', 'K00799']
R07024	['K00799', 'K00799']
R07025	['K00799', 'K00799']
R07026	['K00799', 'K00799']
R07069	['K00799', 'K00799']
R07070	['K00799', 'K00799']
R07083	['K00799', 'K00799']
R07084	['K00799', 'K00799']
R07091	['K00799', 'K00799']
R07092	['K00799', 'K00799']
R07093	['K00799', 'K00799']
R07094	['K00799', 'K00799']
R07100	['K00799', 'K00799']
R07113	['K00799', 'K00799']
R07116	['K00799', 'K00799']
R08280	['K00799', 'K00799']
R09409	['K00799', 'K00799']
R11905	['K00799', '3.2.1.10', '3.2.1.10', 'K00799', '6.3.4.4']
R01658	['K00787', 'K00787', 'K00804', 'K00804', 'K00804']
R02003	['K00787', '2.5.1.10', 'K00787', '2.7.1.105', 'K00804', 'K00804', 'K00804']
R00763	['5.5.1.4', '3.5.1.3']
R07324	['K01858', '2.4.1.186']
R03681	['K00750', '3.1.4.50', 'K00750', '2.3.1.15']
R06623	['K01127', '6.3.5.5']
R00256	['K11541', 'K11541', 'K01955', 'K01956']
R00575	['K11541', 'K11541', 'K01955', 'K01956']
R01395	['K11541', 'K11541', 'K01955', 'K01956']
R01397	['K11541', 'K11541']
R10948	['K11541', 'K11541', 'K01955', 'K01956']
R10949	['K11541', '2.1.3.2', 'K11541', '5.1.3.1', 'K01955', '3.1.3.64', 'K01956', '2.7.1.174']
R01529	['K01783', '6.3.2.2']
R00894	['K11204']
R10993	['K11204', '2.7.1.67']
R03361	['K13711', '4.2.1.134', 'K00888', '3.5.1.41', 'K19801', '4.1.2.25']
R07760	['K10703']
R10827	['K10703', '2.1.3.3']
R01398	['K00611', '2.3.1.1']
R00259	['K00618', '3.1.2.12', 'K00620', 'K00620']
R00527	['K01070', '2.6.1.7']
R01956	['K14264']
R04171	['K14264', '1.2.1.12']
R00089	['K01768']
R00434	['K01768']
R00529	['K00958']
R04929	['K00958', '4.2.1.9']
R01209	['K01687']
R04441	['K01687']
R05070	['K01687', '3.1.2.2']
R01274	['K01068']
R08174	['K01068']
R08175	['K01068']
R08176	['K01068']
R08177	['K01068']
R08178	['K01068']
R08179	['K01068']
R08180	['K01068']
R08181	['K01068']
R08182	['K01068']
R08183	['K01068']
R09450	['K01068', '4.2.1.109']
R07392	['K08964', '1.13.11.6']
R02665	['K00452', '2.7.1.23']
R00104	['K00858', '2.7.4.9']
R02094	['K00943']
R02098	['K00943', '2.1.1.17']
R01320	['K00551', 'K00551']
R03424	['K00551', '2.1.1.71', 'K00551', '1.13.11.52']
R00678	['K00463']
R02702	['K00463']
R02909	['K00463']
R03628	['K00463', '6.3.4.2']
R00185	['K00856', '6.3.5.5']
R10928	['K18083', '3.1.3.95', 'K18083', '3.4.24.84', '3.4.24.84']
R09845	['K06013', '2.5.1.48']
R00999	['K01739', 'K01739', 'K01739']
R01288	['K01739', 'K01739', 'K01739']
R02026	['K01739', 'K01739', 'K01739']
R02508	['K01739', 'K01739', 'K01739']
R03217	['K01739', 'K01739', 'K01739']
R03260	['K01739', 'K01739', 'K01739']
R04944	['K01739', 'K01739', 'K01739']
R04945	['K01739', 'K01739', 'K01739']
R04946	['K01739', '3.2.1.209', 'K01739', '1.3.5.1', 'K01739', '1.1.1.34']
R06722	['K23741', '1.8.1.2']
R01773	['K00003']
R01775	['K00003', '2.4.1.109']
R00025	['K00459', '3.2.1.15', '3.2.1.15']
R01982	['K01184']
R02360	['K01184']
R01867	['K00226', '3.5.2.9']
R00251	['K01469', '4.1.3.27']
R03508	['K01656', '4.1.1.48', 'K01656', '4.1.1.17']
R00670	['K01581', '2.3.1.86']
R01624	['K00668']
R01626	['K00668', 'K00645']
R04428	['K00668']
R04535	['K00668']
R04537	['K00668']
R04544	['K00668']
R04568	['K00668']
R04954	['K00668']
R04965	['K00668']
R05190	['K00668', 'K00667', '2.4.1.117']
R10700	['K00668', '2.7.6.1']
R01462	['K01052', '6.3.2.12', 'K14674', 'K14674', 'K14674', 'K14674', 'K14674', 'K14674', 'K14674', 'K14674']
R02237	['K20457', '5.4.2.2', 'K20457', 'K01930']
R00959	['K01835', 'K01835', 'K01835']
R01057	['K01835', 'K01835', 'K01835']
R08639	['K01835', '2.6.1.1', 'K01835', '2.2.1.6', 'K01835', '3.5.1.89']
R00355	['K14455', 'K14454']
R00896	['K14455', 'K14454']
R02433	['K14455', 'K14454']
R02619	['K14455', 'K14454']
R05052	['K14455', '2.6.1.16', 'K14454', '2.1.2.3']
R00768	['K00820', '3.1.1.23', '3.1.1.23', 'K00820', '4.3.3.6']
R01351	['K01054', '4.1.1.36']
R03269	['K01598', '4.4.1.17']
R02025	['K08968', '2.7.4.6']
R00124	['K00940']
R00139	['K00940']
R00156	['K00940']
R00330	['K00940']
R00570	['K00940']
R00722	['K00940']
R01137	['K00940']
R01857	['K00940']
R02093	['K00940']
R02326	['K00940']
R02331	['K00940']
R03530	['K00940']
R11894	['K00940']
R11895	['K00940', '4.1.2.13']
R01068	['K01624']
R01070	['K01624']
R01829	['K01624']
R02568	['K01624', '1.1.1.100']
R02767	['K00059']
R04533	['K00059', 'K00667']
R04534	['K00059', 'K00667']
R04536	['K00059', 'K00667']
R04543	['K00059', 'K00667']
R04566	['K00059', 'K00667']
R04953	['K00059', 'K00667']
R04964	['K00059', 'K00667']
R07763	['K00059']
R10116	['K00059']
R10120	['K00059']
R11671	['K00059', '2.7.7.9', 'K00645', '1.5.1.3']
R00214	['K00027', '2.7.4.14']
R00158	['K13800']
R00512	['K13800']
R01665	['K13800']
R11891	['K13800']
R11892	['K13800', '2.5.1.58']
R1	['2.5.1.59', '5.4.99.28']
R00509	['K00860']
R04928	['K00860', '3.1.4.4']
R01310	['K01115']
R02051	['K01115']
R07385	['K01115', '2.4.1.186']
R03194	['K00589', '1.5.1.15']
R01218	['K00295', '3.1.1.3']
R01315	['K14674', 'K14674', 'K14674', 'K14674', 'K14674', 'K14674', 'K14674', 'K14674']
R01317	['K14674', 'K14674', 'K14674', 'K14674', 'K14674', 'K14674', 'K14674', 'K14674']
R02053	['K14674', 'K14674', 'K14674', 'K14674', 'K14674', 'K14674', 'K14674', 'K14674']
R07064	['K14674', 'K14674', 'K14674', 'K14674', 'K14674', 'K14674', 'K14674', 'K14674']
R07379	['K14674', 'K14674', 'K14674', 'K14674', 'K14674', 'K14674', 'K14674', 'K14674']
R07387	['K14674', 'K14674', 'K14674', 'K14674', 'K14674', 'K14674', 'K14674', 'K14674']
R07859	['K14674', '3.1.1.13', 'K14674', '3.1.1.4', 'K14674', '2.3.1.51', 'K14674', '4.1.1.49', 'K14674', '3.1.1.13', 'K14674', '3.1.1.4', 'K14674', '2.3.1.51', 'K14674']
R00341	['K01610', '2.1.1.10']
R00650	['K00547', '2.5.1.48', 'K00547', '3.1.4.11']
R01402	['K00772', '2.6.1.1']
R01127	['K00602', 'K00602', 'K00602', 'K00602']
R04560	['K00602', '3.5.4.10', 'K00602', '4.1.1.1', 'K00602', '3.5.4.10', 'K00602']
R07215	['K00227']
R07486	['K00227']
R07491	['K00227']
R07505	['K00227', '3.2.1.113', '3.2.1.113']
R12479	['K01230', '2.1.2.1']
R07495	['K09827']
R12405	['K09827', '2.7.1.32']
R01021	['K00866', '4.1.1.1']
R10507	['K00318', '2.5.1.22']
R02869	['K00802', '6.2.1.1']
R01561	['K03783']
R01863	['K03783']
R01969	['K03783']
R02147	['K03783']
R02294	['K03783']
R02295	['K03783']
R02297	['K03783']
R02484	['K03783']
R02557	['K03783']
R02748	['K03783']
R08368	['K03783']
R10244	['K03783', '3.7.1.3']
R00987	['K01556']
R02668	['K01556']
R03936	['K01556', '2.3.1.181']
R12428	['K23735', '2.7.1.137']
R03362	['K00914', '3.5.4.5']
R01878	['K01489']
R02485	['K01489']
R08221	['K01489', '2.4.1.11']
R01926	['K04718', 'K04718']
R02976	['K04718', '5.3.3.8', '5.3.3.8', 'K04718', '2.3.1.51']
R04756	['K13239', '3.2.1.14', '3.2.1.14']
R00494	['K00681', 'K00681']
R01262	['K00681', 'K00681']
R01687	['K00681', 'K00681']
R03867	['K00681', 'K00681']
R03916	['K00681', 'K00681']
R03970	['K00681', 'K00681']
R03971	['K00681', 'K00681']
R04935	['K00681', '3.4.19.13', 'K00681', '3.2.1.58', '3.2.1.58']
R01324	['K01681']
R01325	['K01681']
R01900	['K01681', '2.7.1.67']
R02333	['K01452', '3.5.1.41', 'K01452', '2.7.7.1']
R00269	['K13566']
R00348	['K13566', '2.2.1.2']
R03051	['K00053']
R04439	['K00053']
R04440	['K00053']
R05068	['K00053']
R05069	['K00053']
R05071	['K00053', '4.3.2.2']
R01083	['K01756']
R04559	['K01756', '2.3.1.199']
R00762	['K03841']
R04780	['K03841', '3.5.2.3']
R01993	['K01465', '1.1.1.205']
R00667	['K00819', '2.7.1.1']
R02082	['K00021', '2.3.3.10', 'K00021', '2.7.1.28']
R01978	['K01641', '1.6.2.2']
R09737	['K06127', '2.4.2.10']
R01870	['K00762', '1.6.2.2', 'K00762', '5.4.2.2']
R02715	['K00107', '2.5.1.48']
R02746	['K14676']
R02747	['K14676']
R03416	['K14676']
R03417	['K14676', '1.1.1.205']
R00196	['K00101', '3.5.4.6']
R00181	['K01490', '2.4.2.7']
R04427	['K00559']
R07481	['K00559', '4.4.1.5']
R02530	['K01759', '3.1.1.5']
R07291	['3.1.1.5', '1.13.11.53', '2.4.1.267']
R07363	['K08967', 'K08967']
R07364	['K08967', '1.13.11.54', 'K08967', '2.7.1.108']
R01018	['K00902', '1.14.19.41']
R07506	['K09831', '1.5.3.17']
R03899	['K13367']
R09074	['K13367']
R09076	['K13367']
R09077	['K13367', '1.1.1.116']
R02282	['K00620', '2.3.1.1', 'K00620', '1.1.1.1']
R03425	['K00281', '2.7.1.11']
R00742	['K11262', 'K11262', 'K11262', 'K11262', 'K11262', 'K11262']
R04385	['K11262', 'K11262', 'K11262', 'K11262', 'K11262', 'K11262']
R04386	['K11262', '6.3.4.14', 'K11262', '2.1.3.15', 'K11262', '2.7.1.36', 'K11262', '6.3.4.14', 'K11262', '2.1.3.15', 'K11262', '2.3.1.26']
R02245	['K00869', '6.3.5.2']
R01230	['K01951']
R01231	['K01951']
R08244	['K01951', '2.7.4.2']
R03245	['K00938', '1.1.1.381']
R09289	['K16066']
R10851	['K16066']
R10852	['K16066', '6.2.1.3']
R00261	['K01580']
R00489	['K01580']
R01682	['K01580']
R02466	['K01580', '3.6.1.1']
R05917	['K03434', '4.1.3.38']
R05553	['K02619', '2.3.1.50']
R01072	['K00764', '1.1.1.1']
R00691	['K04518']
R01373	['K04518', '1.3.1.70']
R05639	['K00222']
R07483	['K00222', '2.3.1.31']
R01776	['K00641', 'K00641']
R01777	['K00641', '2.3.1.46', 'K00641', '1.1.1.26']
R00717	['K00015']
R01388	['K00015', '2.7.1.67']
R03066	['K13939', 'K13939', 'K13939']
R03067	['K13939', 'K13939', 'K13939']
R03503	['K13939', 'K13939', 'K13939']
R03504	['K13939', '2.7.6.3', 'K13939', '2.5.1.15', 'K13939', '1.1.1.49']
R00835	['K00036', 'K00036']
R02736	['K00036', 'K00036']
R10907	['K00036', '1.1.1.363', 'K00036', '2.5.1.18']
R01135	['K01939', '2.4.1.259']
R06259	['K03846', 'K03846']
R06261	['K03846', '2.4.1.261', 'K03846', '2.4.1.16']
R01085	['K01557', '3.5.4.4']
R01560	['K01488']
R02556	['K01488', '2.7.8.2']
R01321	['K00994']
R04321	['K00994']
R04922	['K00994']
R07389	['K00994', '2.7.1.22']
R02324	['K10524', 'K10524']
R03347	['K10524', '2.7.1.173', 'K10524', '3.1.3.16']
R03363	['K01110', 'K01110', 'K01110']
R04513	['K01110', '3.1.3.48', 'K01110', '3.1.3.67', 'K01110', '2.3.3.9']
R01213	['K01649', '2.1.1.22', 'K01649', '3.1.3.36']
R02144	['K19787', '2.3.1.12']
R02569	['K00627', '2.4.1.131']
R06127	['K03844']
R06128	['K03844', '3.3.2.6']
R03057	['K01254']
R00709	['K00030', '4.2.1.1', 'K00030', '6.2.1.4']
R00132	['K01673']
R10092	['K01673', '1.1.1.42']
R05333	['K00679', '2.7.1.48']
R06260	['K03847', '2.6.1.85']
R01716	['K13950', '3.1.1.31']
R05000	['K06125']
R05616	['K06125']
R07273	['K06125', '4.1.1.33']
R01121	['K01597', '1.5.1.10']
R02315	['K00293', '6.3.3.3']
R03182	['K01935', '2.6.1.62']
R03231	['K00833', '1.1.1.67']
R02260	['K17741', '2.5.1.78']
R04457	['K00794', '2.6.1.11']
R02283	['K00818', '2.7.1.105']
R04711	['K00591', 'K00591']
R08771	['K00591', 'K00591']
R12657	['K00591', '2.1.1.64', 'K00591', '1.1.1.1']
R09377	['K14655', '3.1.3.7']
R00188	['K01082']
R00508	['K01082', '2.7.6.1']
R01954	['K01940', '5.4.2.11']
R02133	['K00877', 'K00877', 'K00877', 'K00877', 'K00877', 'K00877']
R03471	['K00877', 'K00877', 'K00877', 'K00877', 'K00877', 'K00877']
R04509	['K00877', 'K00877', 'K00877', 'K00877', 'K00877', 'K00877']
R09993	['K00877', '2.7.4.7', 'K00877', '3.5.99.2', 'K00877', '4.1.1.50', 'K00877', '2.7.4.7', 'K00877', '3.5.99.2', 'K00877', '2.3.1.86']
R00178	['K01611', '6.3.2.3']
R00497	['K21456']
R10994	['K21456', '6.1.1.17']
R06262	['K03848', '2.3.1.286']
R06263	['K03849', '2.1.1.45']
R02101	['K00560', '3.1.1.3']
R01056	['K01807']
R01039	['K18097', '1.14.99.60']
R12067	['K06134', '4.1.1.21']
R04209	['K11808', '1.1.1.41']
R00619	['K00949', '3.1.3.99']
R01126	['K18550']
R02323	['K18550']
R03346	['K18550', '2.7.1.91', '2.7.1.91']
R01318	['K13519', 'K13519']
R03437	['K13519', 'K13519']
R04480	['K13519', 'K13519']
R09034	['K13519', 'K13519']
R09035	['K13519', 'K13519']
R09036	['K13519', 'K13519']
R00310	['K01772', 'K01772']
R11329	['K01772', '4.99.1.9', 'K01772', '2.6.1.52']
R04173	['K00831']
R05085	['K00831', '3.2.1.58', '3.2.1.58']
R07767	['K03644']
R12423	['K03644']
R12424	['K03644', '4.2.1.19']
R03457	['K01693', '6.3.4.21']
R01724	['K00763', '2.3.1.39']
R00936	['K00287']
R00937	['K00287']
R00939	['K00287']
R00940	['K00287']
R02235	['K00287']
R02236	['K00287']
R11765	['K00287', '6.3.2.17']
R00942	['K01930']
R04241	['K01930', '2.3.1.22']
R03755	['K14457']
R03756	['K14457', '2.8.1.1']
R01931	['K01011', 'K01011']
R03105	['K01011', '2.8.1.2', 'K01011']
R04452	['K16794', '4.2.1.75']
R03165	['K01719', '6.3.5.5']
R09944	['K16368', '6.2.1.3']
R03313	['K00147', '2.7.1.40']
R00519	['K00122', '4.2.1.130']
R03332	['K05857']
R03435	['K05857']
R10952	['K05857', '4.2.1.2']
R01082	['K01679', '2.7.1.49']
R01005	['K00729', '2.5.1.3']
R03223	['K14154', 'K14154']
R04448	['K14154', 'K14154']
R10712	['K14154', '2.7.1.50', 'K14154', '2.4.1.198']
R07411	['K02257', '2.7.8.7']
R01625	['K00997', '5.3.3.2']
R01123	['K01823', '3.5.3.1']
R00551	['K01476', '3.1.4.46']
R01030	['K18696']
R01470	['K18696']
R00094	['K00383']
R00115	['K00383']
R02061	['K00804', '2.5.1.10', 'K00804', '2.5.1.29', 'K00804', '1.2.1.3']
R06986	['2.3.1.9']
R04424	['K01720', '4.1.3.1']
R00253	['K01915', '5.4.99.5']
R01715	['K01850', '3.5.4.1']
R00974	['K03365', 'K03365']
R01411	['K03365', 'K03365']
R02922	['K03365', '3.5.4.21', 'K03365', '2.5.1.16']
R01920	['K00797']
R08359	['K00797', '3.1.3.2']
R01802	['K00999', '5.3.1.23']
R04420	['K08963', '1.1.1.65']
R01708	['K05275', '2.3.1.51']
R02111	['K00688', '1.8.4.8', 'K01196', '3.2.1.33', '3.2.1.33', 'K01196', '2.3.1.36']
R02021	['K00390', '1.8.4.10', 'K00390', '2.4.1.83']
R01009	['K00721', '2.4.1.25', '2.4.1.25']
R02109	['K01196', 'K01196']
