Gene	lCompartments
5315	['mitochondrion', 'cytoplasm', 'extracellular']
221823	['cytoplasm']
3347	['cytoplasm']
7504	['extracellular']
55601	['cytoplasm']
768	['cytoplasm', 'extracellular']
6891	['cytoplasm', 'extracellular']
9785	['extracellular']
9429	['mitochondrion', 'cytoplasm', 'extracellular']
729020	['cytoplasm']
29968	['cytoplasm']
84515	['cytoplasm']
284111	['cytoplasm', 'extracellular']
9120	['extracellular']
26038	['cytoplasm', 'extracellular']
92797	['cytoplasm']
445	['mitochondrion', 'cytoplasm']
84284	['extracellular']
389015	['extracellular']
92736	['extracellular']
160728	['cytoplasm', 'extracellular']
6576	['mitochondrion', 'cytoplasm', 'extracellular']
6517	['cytoplasm', 'extracellular']
229	['cytoplasm']
1375	['mitochondrion', 'extracellular']
205	['mitochondrion', 'cytoplasm']
159	['mitochondrion', 'cytoplasm', 'extracellular']
3098	['mitochondrion', 'cytoplasm']
80119	['mitochondrion', 'cytoplasm']
6506	['cytoplasm', 'extracellular']
1665	[]
766	['cytoplasm']
23020	['extracellular']
54617	['cytoplasm', 'extracellular']
57130	['extracellular']
6779	['cytoplasm']
89872	['extracellular']
3177	['cytoplasm', 'extracellular']
5825	['mitochondrion', 'cytoplasm', 'extracellular']
79572	['extracellular']
1659	[]
6511	['cytoplasm', 'extracellular']
8653	['cytoplasm', 'extracellular']
10057	['cytoplasm', 'extracellular']
2071	['cytoplasm']
282679	['cytoplasm', 'extracellular']
58497	['cytoplasm']
2963	['cytoplasm']
23517	[]
1497	['cytoplasm', 'extracellular']
125206	['cytoplasm', 'extracellular']
441024	['mitochondrion']
81034	['mitochondrion', 'extracellular']
6573	['extracellular']
55867	['cytoplasm', 'extracellular']
22907	['mitochondrion', 'cytoplasm']
63910	['cytoplasm', 'extracellular']
7167	['cytoplasm']
2023	['cytoplasm', 'extracellular']
506	['mitochondrion', 'cytoplasm', 'extracellular']
26289	['cytoplasm']
9121	['extracellular']
9551	['mitochondrion', 'cytoplasm', 'extracellular']
1107	['cytoplasm']
10449	['mitochondrion']
6892	['cytoplasm', 'extracellular']
11309	['extracellular']
4942	['mitochondrion', 'cytoplasm']
91734	['cytoplasm']
10479	['cytoplasm', 'extracellular']
140679	['cytoplasm', 'extracellular']
11001	['cytoplasm', 'extracellular']
55315	['cytoplasm', 'extracellular']
84896	['cytoplasm', 'extracellular']
84701	['mitochondrion', 'extracellular']
1327	['mitochondrion', 'cytoplasm', 'extracellular']
153129	['cytoplasm', 'extracellular']
5631	['cytoplasm']
529	['cytoplasm', 'extracellular']
6565	['cytoplasm', 'extracellular']
127124	['cytoplasm', 'extracellular']
6527	['extracellular']
84679	['cytoplasm', 'extracellular']
144195	['extracellular']
56652	['mitochondrion', 'cytoplasm']
2730	['cytoplasm']
8402	['mitochondrion', 'extracellular']
146802	['extracellular']
48	['mitochondrion', 'cytoplasm']
1662	[]
206358	['extracellular']
7086	['cytoplasm']
159963	['cytoplasm', 'extracellular']
6536	['cytoplasm', 'extracellular']
1974	['cytoplasm']
11182	['extracellular']
759	['cytoplasm']
2821	['cytoplasm', 'extracellular']
246213	['cytoplasm', 'extracellular']
10165	['mitochondrion', 'extracellular']
92579	['extracellular']
6505	['cytoplasm', 'extracellular']
2752	['mitochondrion', 'cytoplasm', 'extracellular']
23205	['cytoplasm', 'extracellular']
1763	['mitochondrion', 'cytoplasm']
29988	['cytoplasm', 'extracellular']
2618	['cytoplasm']
9401	['cytoplasm', 'extracellular']
5313	['cytoplasm']
3101	['mitochondrion', 'cytoplasm']
1373	['mitochondrion', 'cytoplasm']
1667	['cytoplasm', 'extracellular']
109703458	['mitochondrion']
29028	['cytoplasm']
361	['cytoplasm', 'extracellular']
25902	['mitochondrion', 'cytoplasm', 'extracellular']
522	['mitochondrion', 'extracellular']
527	['cytoplasm', 'extracellular']
9123	['cytoplasm', 'extracellular']
3117	['cytoplasm', 'extracellular']
23305	['mitochondrion', 'extracellular']
2030	['cytoplasm', 'extracellular']
366	['cytoplasm', 'extracellular']
6542	['cytoplasm', 'extracellular']
10856	['cytoplasm', 'extracellular']
10478	['cytoplasm', 'extracellular']
383	['mitochondrion', 'cytoplasm']
5663	['mitochondrion', 'cytoplasm', 'extracellular']
57127	['cytoplasm', 'extracellular']
8034	['mitochondrion', 'extracellular']
5471	['cytoplasm', 'extracellular']
56919	['cytoplasm']
91646	['cytoplasm']
6564	['cytoplasm', 'extracellular']
2937	['cytoplasm']
546	['cytoplasm']
51727	['cytoplasm']
25874	['mitochondrion', 'extracellular']
54606	['extracellular']
54514	['cytoplasm']
5634	['cytoplasm']
2180	['mitochondrion', 'extracellular']
4171	['cytoplasm']
27068	['mitochondrion', 'cytoplasm']
31	['cytoplasm']
158	['cytoplasm']
64077	['cytoplasm']
5243	['cytoplasm', 'extracellular']
135	['cytoplasm', 'extracellular']
137362	['cytoplasm']
6832	['mitochondrion', 'cytoplasm']
2876	['mitochondrion', 'cytoplasm']
54821	['cytoplasm', 'extracellular']
2181	['mitochondrion', 'cytoplasm', 'extracellular']
54868	['extracellular']
2224	['cytoplasm']
6648	['mitochondrion', 'cytoplasm']
6514	['cytoplasm', 'extracellular']
5250	['mitochondrion', 'cytoplasm', 'extracellular']
79751	['mitochondrion', 'extracellular']
6649	['cytoplasm', 'extracellular']
6512	['cytoplasm', 'extracellular']
9296	['cytoplasm', 'extracellular']
2880	['cytoplasm']
51241	['mitochondrion']
83447	['mitochondrion', 'cytoplasm', 'extracellular']
57697	[]
10955	['cytoplasm', 'extracellular']
1106	['cytoplasm']
6568	['extracellular']
27349	['mitochondrion']
6888	['cytoplasm']
9016	['mitochondrion', 'extracellular']
1653	['mitochondrion', 'cytoplasm', 'extracellular']
387601	['extracellular']
22934	['cytoplasm']
124565	['cytoplasm', 'extracellular']
2222	['extracellular']
27165	['mitochondrion']
9563	['mitochondrion', 'cytoplasm']
567	['cytoplasm', 'extracellular']
10786	['cytoplasm', 'extracellular']
80150	['cytoplasm']
6566	['cytoplasm', 'extracellular']
2645	['mitochondrion', 'cytoplasm']
9197	['extracellular']
57647	['cytoplasm']
5211	['cytoplasm', 'extracellular']
291	['mitochondrion', 'extracellular']
120103	['extracellular']
83959	['cytoplasm', 'extracellular']
151473	['extracellular']
6541	['cytoplasm', 'extracellular']
50651	['extracellular']
55760	['mitochondrion']
10050	['extracellular']
10212	['cytoplasm', 'extracellular']
23586	['cytoplasm', 'extracellular']
64848	['cytoplasm']
158067	['cytoplasm']
2271	['mitochondrion', 'cytoplasm']
513	['mitochondrion']
170506	['mitochondrion', 'cytoplasm']
56474	['cytoplasm']
6550	['cytoplasm', 'extracellular']
54505	['cytoplasm']
125965	['mitochondrion', 'cytoplasm']
6553	['extracellular']
440400	['extracellular']
166378	['mitochondrion', 'cytoplasm']
8170	['extracellular']
51428	['cytoplasm', 'extracellular']
5214	['cytoplasm', 'extracellular']
9122	['extracellular']
2878	['cytoplasm']
1339	['mitochondrion', 'extracellular']
5009	['mitochondrion', 'cytoplasm']
79132	['cytoplasm']
142680	['cytoplasm', 'extracellular']
133060	['extracellular']
23132	[]
54995	['mitochondrion', 'cytoplasm']
1350	['mitochondrion', 'extracellular']
85413	['extracellular']
23632	['extracellular']
83884	['mitochondrion', 'extracellular']
11238	['mitochondrion', 'cytoplasm']
154091	['cytoplasm', 'extracellular']
27348	['cytoplasm']
9056	['extracellular']
25796	['cytoplasm']
113675	['cytoplasm']
2877	['cytoplasm']
57030	['cytoplasm', 'extracellular']
10521	['cytoplasm', 'extracellular']
80205	['cytoplasm']
2182	['mitochondrion', 'cytoplasm', 'extracellular']
8789	['cytoplasm', 'extracellular']
972	['cytoplasm', 'extracellular']
10998	['cytoplasm', 'extracellular']
5224	['cytoplasm']
6515	['cytoplasm', 'extracellular']
317781	['extracellular']
113510	[]
79085	['mitochondrion', 'extracellular']
79039	['cytoplasm', 'extracellular']
284525	['extracellular']
7352	['mitochondrion', 'extracellular']
6534	['extracellular']
94081	['mitochondrion']
245973	['cytoplasm']
10654	['cytoplasm', 'extracellular']
9481	['mitochondrion', 'cytoplasm', 'extracellular']
157724	['extracellular']
91351	[]
220963	['extracellular']
81539	['cytoplasm', 'extracellular']
515	['mitochondrion', 'extracellular']
51750	[]
3119	['cytoplasm', 'extracellular']
114789	['mitochondrion', 'extracellular']
5198	['cytoplasm']
10201	['mitochondrion']
54456	['cytoplasm']
1108	['cytoplasm', 'extracellular']
4522	['mitochondrion', 'cytoplasm', 'extracellular']
