gene	uniprotId	AND	OR
['SLCO2B1', 'KIAA0880', 'OATP2B1', 'OATPB', 'SLC21A9']	['O94956', 'A8K2G9', 'B4DGA9', 'B4DTB0', 'E7ERN5', 'E9PPU8', 'Q9H2Z0', 'Q9UFU1']	[]	[]
['SLCO2B1', 'hCG_27402']	['A0A024R5I4']	[]	[]
['SLC46A1', 'HCP1', 'PCFT']	['Q96NT5', 'Q1HE20', 'Q86T92', 'Q8TEG3', 'Q96FL0']	[]	[]
['HCP1', 'hCG_31812']	['A0A024QZ15']	[]	[]
[]	['Q86XP3', 'A6NML1', 'A8KA43', 'O75619', 'Q68G51', 'Q96BK1', 'Q96HR7', 'Q9Y3V8']	['s']	[]
['HELQ', 'HEL308']	['Q8TDG4', 'Q05DF9', 'Q502W9', 'Q659B8', 'Q6ZQX4', 'Q6ZTS4', 'Q96EX7']	['s']	[]
[]	['Q96GA7']	[]	['SDS']
['SDSL', 'hCG_40375']	['A0A024RBL2']	[]	['SDS']
[]	['Q96QE2', 'Q17S07']	[]	[]
['SLC25A25', 'APC3', 'KIAA1896', 'MCSC3', 'SCAMC2', 'UNQ549/PRO1106']	['Q6KCM7', 'Q5SYW7', 'Q5SYW8', 'Q5SYX3', 'Q5VWU2', 'Q5VWU3', 'Q5VWU4', 'Q6KCM4', 'Q6KCM6', 'Q6UX48', 'Q705K2', 'Q96PZ1', 'Q9BSA6']	[]	['SLC25A23', 'SLC25A24']
['ACSM1', 'BUCS1', 'LAE', 'MACS1']	['Q08AH1', 'Q08AH2', 'Q96A20']	[]	[]
[]	['B2RAP4']	[]	[]
[]	['P51793', 'A1L3U1', 'B7Z5Z4', 'Q9UBU1']	['s']	[]
['SLC36A4', 'PAT4']	['Q6YBV0', 'Q86X30', 'Q8IVM5', 'Q8N8S6']	[]	['SLC36A3', 'SLC36A1', 'SLC36A2']
['SLC15A4', 'PHT1', 'PTR4', 'FP12591']	['Q8N697', 'A6H8Y9', 'B3KTK1', 'Q71M34', 'Q7Z5F8', 'Q8TAH0']	['s']	['SLC15A3']
['TDRD9', 'C14orf75']	['Q8NDG6', 'A1A4S7', 'Q6ZU54', 'Q8N7T3', 'Q8N827', 'Q8N9V5', 'Q96AS9']	['DDX4', 'MOV10L1', 's']	[]
[]	['Q86WA0']	[]	[]
[]	['Q96M32', 'Q8IYP6']	[]	[]
['ADSS1', 'ADSSL1']	['Q8N142', 'Q86TT6', 'Q8N714']	[]	['ADSS2']
['SLC25A29', 'C14orf69', 'ORNT3']	['Q8N8R3', 'A3KMR5', 'Q541V0']	[]	[]
['ABCC2', 'CMOAT', 'CMOAT1', 'CMRP', 'MRP2']	['Q92887', 'B2RMT8', 'Q14022', 'Q5T2B1', 'Q92500', 'Q92798', 'Q99663', 'Q9UMS2']	[]	[]
['SLC38A10', 'PP1744']	['Q9HBR0', 'Q6ZRC5', 'Q8NA99', 'Q96C66']	[]	[]
['SLC5A10', 'SGLT5']	['A0PJK1', 'A8MUC9', 'B4DPI0', 'B7WPR4', 'Q6P5X0', 'Q8IXM4', 'Q96LQ1']	[]	[]
[]	['Q6YFQ2', 'Q7L1R4', 'Q96DL5']	['3', '2', 'COX5B', 'MT-CO3', 'COX5A', 'a', 'MT-CO2', 'COX7A2', 'COX6A2', 'COX7A1', 'COX8A', 'COX4I2', '1', 'COX4I1', 'COX7C', 's', 'MT-CO1', 'catalytic', 'COX6B2']	[]
['CPT1C', 'CATL1']	['Q8TCG5', 'A8K0Z8', 'Q5K6N5', 'Q8N6Q9', 'Q8NDS6', 'Q8TE84']	['4', 'a', 's']	[]
['CPT1C', 'hCG_2039825']	['B3KU49']	[]	[]
['CPT1C', 'hCG_2039825']	['A0A024QZE3']	[]	[]
['ATP6V1G3', 'ATP6G3']	['Q96LB4', 'Q495K2', 'Q495K4', 'Q5T9L6']	['ATP6V0D1', 'ATP6V1B2', 'ATP6V1B1', 'ATP6V1E1', 'ATP6V1C2', 'ATP6V1H', 'ATP6V1D', 's', 'ATP6V1F', 'a', 'catalytic', 'd']	['ATP6V1G1']
[]	['Q5EBM0', 'A2RUB0', 'A5D8T2', 'B7ZM18', 'Q6ZRU2', 'Q96AL8']	[]	[]
['COX4I1', 'COX4']	['P13073', 'B2R4J2', 'D3DUM7', 'Q6P666']	['COX5B', 'P00395', 'COX7A1', 'P15954', 's', 'P10606', 'P00403', 'catalytic', '3', '2', 'MT-CO3', '1', 'MT-CO1', 'COX6B2', 'a', 'P14406', 'MT-CO2', 'COX6A2', 'COX4I2', 'COX4I1', 'P10176', 'P00414', 'COX5A', 'COX7A2', 'P20674', 'COX7C', 'COX8A']	['COX4I2']
[]	['Q86WV2']	[]	['COX4I2']
[]	['P10606', 'Q53YB7', 'Q96J18', 'Q99610']	['COX5B', 'P00395', 'P15954', 's', 'catalytic', 'P00403', '3', '2', 'MT-CO3', '1', 'MT-CO1', 'P14406', 'MT-CO2', 'COX8A', 'P13073', 'COX4I1', 'P10176', 'P00414', 'COX5A', 'COX7A2', 'P20674', 'COX7C', 'a']	[]
[]	['A0A384NL93']	[]	[]
['SLC9B2', 'NHA2', 'NHEDC2']	['Q86UD5', 'B5ME52', 'Q6ZMD8', 'Q96D95']	[]	['SLC9B1']
[]	['B7Z488']	[]	['SLC9B1']
['LOC133308', 'hCG_1777475']	['A0A024RDJ7']	[]	['SLC9B1']
['COX6A2', 'COX6A', 'COX6AH']	['Q02221', 'O00761', 'Q6GTW6']	['3', '2', 'COX5B', 'MT-CO3', 'COX5A', 'a', 'MT-CO2', 'COX7A2', 'COX6A2', 'COX7A1', 'COX8A', 'COX4I2', '1', 'COX4I1', 'COX7C', 's', 'MT-CO1', 'catalytic', 'COX6B2']	[]
['COX7A1', 'COX7AH']	['P24310']	['3', '2', 'COX5B', 'MT-CO3', 'COX5A', 'a', 'MT-CO2', 'COX7A2', 'COX6A2', 'COX7A1', 'COX8A', 'COX4I2', '1', 'COX4I1', 'COX7C', 's', 'MT-CO1', 'catalytic', 'COX6B2']	['COX7A2']
[]	['Q6FGI7']	[]	['COX7A2']
['COX7A2', 'COX7AL']	['P14406', 'B2R5E1', 'Q3MIH5', 'Q5TF59', 'Q6FGI2']	['COX5B', 'P00395', 'P15954', 's', 'P10606', 'catalytic', 'P00403', '3', '2', 'MT-CO3', '1', 'MT-CO1', 'MT-CO2', 'COX8A', 'P13073', 'COX4I1', 'P10176', 'P00414', 'COX5A', 'COX7A2', 'P20674', 'COX7C', 'a']	['COX7A1']
['COX7A2', 'hCG_17987']	['H0UI06']	[]	['COX7A1']
['ADORA2A', 'ADORA2']	['P29274', 'B2R7E0']	['s']	[]
[]	['B3KVQ4']	[]	[]
[]	['X5DNB4']	[]	[]
