MetaCycId	NcbiId	Uniprot	Accessions	Names	Product	Product_types
|BSU25190|			['BSU25190']	['BSU25190', 'cccA']	['|BSU25190-MONOMER|']	[]
|G-15465|	5773758		['Nmar_0155']	['mpnS', 'Nmar_0155']	['|MONOMER-17793|']	[]
|G-10331|			[]	['LTC1']	['|MONOMER-13560|']	['|ENZYME|']
|G7423|			['b2747', 'ECK2742']	['ygbP', 'ispD', 'b2747', 'ECK2742']	['|G7423-MONOMER|']	[]
|AT5G20410|			[]	['MGD2', 'At5g20410']	['|AT5G20410-MONOMER|']	[]
|G-12018|			[]	['hoxE']	['|MONOMER-15649|']	[]
|G-27200|			[]	['tdiA']	['|MONOMER-18727|']	[]
|G-12163|			[]	['moxA']	['|MONOMER-15837|']	[]
|G-1681|			[]	['At4g32410', 'CesA1', 'rsw1']	['|MONOMER-2361|']	[]
|EG10184|			[]	['ECK1269', 'b1275', 'cysB']	['|PD00232|']	[]
|G-80539|			['Saci_2087']	['soxC', 'Saci_2087']	['|MONOMER-21019|']	[]
|G185E-7838|	13317169		['Rv3561']	['fadD3', 'Rv3561']	['|G185E-7838-MONOMER|']	[]
|AT4G02500|	827940		['At4g02500']	['GT2', 'XXT2', 'XT2', 'GTL5', 'At4g02500']	['|AT4G02500-MONOMER|']	[]
|YGR202C|	853116		[]	['CCT', 'PCT1', 'CCT1']	['|YGR202C-MONOMER|']	[]
|G-2882|			[]	['mclA', 'malyl coenzyme A lyase']	['|MONOMER-3822|']	['|ENZYME|']
|G-34588|			[]	['cycA1']	['|MONOMER-18880|']	[]
|G-11559|			[]	['ligZ']	['|MONOMER-15123|']	[]
|G-331|			[]	['mtrD']	['|MTRDMAUTO-MONOMER|']	[]
|HS09725|	4247		[]	['GNT2', 'GNT-II', 'MGAT2', 'II', 'GlcNac T-II', 'CDGS2']	['|HS09725-MONOMER|']	[]
|BSU33240|			['BSU33240']	['yvrK', 'oxdC', 'BSU33240']	['|BSU33240-MONOMER|']	[]
|G6502|			['b0968', 'ECK0959']	['ECK0959', 'yccX', 'b0968']	['|G6502-MONOMER|']	[]
|G-10644|			[]	['ftsA']	['|MONOMER-13942|']	['|ENZYME|']
|G-44046|			[]	['sfmM2']	['|MONOMER-19336|']	[]
|EG11897|			['b2573', 'ECK2571']	['b2573', 'sigE', 'ECK2571', 'rpoE']	['|RPOE-MONOMER|']	[]
|G-11462|			[]	['PKS4']	['|MONOMER-15018|']	[]
|G-9777|			[]	['TYDC2']	['|MONOMER-12764|']	['|ENZYME|']
|G-9933|			[]	['pyk']	['|MONOMER-13043|']	['|ENZYME|']
|EG12292|			['b3588', 'ECK3577']	['aldB', 'ECK3577', 'yiaX', 'b3588']	['|ALDDEHYDROGB-MONOMER|']	[]
|AT1G69640|			['AT1G69640']	['AT1G69640', 'SBH1']	['|AT1G69640-MONOMER|']	['|ENZYME|']
|G-9738|			[]	['ccsA']	['|MONOMER-12692|']	['|ENZYME|']
|G-14550|	1048234		[]	['pmtX1']	['|MONOMER-16694|']	[]
|EG11294|			['b1208', 'ECK1196']	['ychB', 'ipk', 'ispE', 'ECK1196', 'b1208']	['|EG11294-MONOMER|']	[]
|BSU06150|			['BSU06150']	['gutB', 'BSU06150']	['|BSU06150-MONOMER|']	[]
|G-15208|			[]	['pdcE']	['|MONOMER-17437|']	[]
|G185E-8078|	886114		['Rv3782']	['glfT1', 'Rv3782']	['|G185E-8078-MONOMER|']	[]
|G-55027|	3718168		['RSP_1175']	['ubiG', 'RSP_1175']	['|MONOMER-20134|']	[]
|G-12774|	51451		[]	['LCMT1']	['|MONOMER-16510|']	[]
|G-55177|			[]	['GFP']	['|MONOMER-20292|']	[]
|EG10897|			['b3461', 'ECK3445']	['ECK3445', 'fam', 'rpoH', 'htpR', 'hin', 'b3461']	['|RPOH-MONOMER|']	[]
|G-17631|	11754159		['STM14_4544']	['dgaE', 'STM14_4544']	['|MONOMER-18124|']	[]
|G6653|			['b1315', 'ECK1310']	['b1315', 'ycjS', 'ECK1310']	['|G6653-MONOMER|']	[]
|G-15200|			[]	['IgD4']	['|MONOMER-17425|']	[]
|G-14810|	9963604		['REQ_06560']	['REQ_06560', 'ltp2']	['|MONOMER-16992|']	[]
|EG11827|			['b4090', 'ECK4083']	['b4090', 'ECK4083', 'rpiB', 'alsI', 'yjcA']	['|RIB5PISOMB-MONOMER|']	[]
|G-80450|			[]	['DabA']	['|MONOMER-20923|']	[]
|G-9002|	1224229		[]	['ooxB']	['|MONOMER-11549|']	[]
|G-11208|	81676		[]	['Hnmt']	['|MONOMER-14646|']	[]
|G66-33947|			[]	['C1orf17', 'KIAA0584', 'GLT25D2']	['|G66-33947-MONOMER|']	[]
|G-15370|	1099526		['SCO4089']	['SCO4089', 'vdh']	['|MONOMER-17657|']	[]
|G-2262|			[]	['PmdB']	['|MONOMER-3166|']	[]
|AT1G71880|			[]	['SUC1']	['|AT1G71880-MONOMER|']	[]
|G-15315|			['RBTH_06810']	['RBTH_06810']	['|MONOMER-17596|']	[]
|G7319|			['b2511', 'ECK2507']	['ECK2507', 'yfgK', 'engA', 'der', 'b2511']	['|G7319-MONOMER|']	[]
|EG10896|			['b3067', 'ECK3057']	['alt', 'rpoD', 'ECK3057', 'b3067']	['|RPOD-MONOMER|']	[]
|G-11972|			[]	['GAR1']	['|MONOMER-15601|']	[]
|HS00573|			[]	['PI4K2A']	['|HS00573-MONOMER|']	[]
|G-11252|			[]	['amnE']	['|MONOMER-14743|']	[]
|EG10817|			['b3748', 'ECK3742']	['b3748', 'rbsP', 'rbsD', 'ECK3742']	['|EG10817-MONOMER|']	[]
|GIO2-1735|			['Cre06.g282000.t1.2']	['SSS3', 'Cre06.g282000.t1.2', 'STA3']	['|GIO2-1735-MONOMER|']	[]
|G-44589|	3827517		['BAB2_0370']	['BAB2_0370', 'eryC']	['|MONOMER-19886|']	[]
|G-43772|	952817		[]	['sll1848']	['|MONOMER-19031|']	[]
|EG10508|			['b0421', 'ECK0415']	['ECK0415', 'b0421', 'ispA']	['|FPPSYN-MONOMER|']	[]
|G-11470|			[]	['PKS3']	['|MONOMER-15028|']	[]
|G-18063|			[]	['elmI']	['|MONOMER-18598|']	[]
|G-63085|	8924004		['HVO_0665']	['HVO_0665', 'thi4']	['|MONOMER-20828|']	[]
|G-58823|			['RPA3714']	['pimC', 'RPA3714']	['|MONOMER-20676|']	[]
|G-11931|			[]	['encH']	['|MONOMER-15556|']	[]
|G-43866|			[]	['npdI']	['|MONOMER-19136|']	[]
|G-54994|			[]	['pco']	['|MONOMER-20106|']	[]
|G-15974|			[]	['kanJ', 'kacB']	['|MONOMER-17980|']	[]
|G-43969|			[]	['vppF']	['|MONOMER-19257|']	[]
|EG10577|			['b4119', 'ECK4112']	['melA', 'mel-7', 'ECK4112', 'b4119']	['|ALPHAGALACTOSID-MONOMER|']	[]
|G-14732|	4222084		['RHA1_ro04533']	['RHA1_ro04533', 'hsaE']	['|MONOMER-16913|']	[]
|G-17709|			[]	['aknE2']	['|MONOMER-18199|']	[]
|HS10493|	8801		[]	['SUCLG2', 'G-BETA']	['|HS10493-MONOMER|']	[]
|G-10745|			[]	['aphA']	['|MONOMER-14060|']	['|ENZYME|']
|HS07103|			[]	['ITPKB']	['|HS07103-MONOMER|']	[]
|SYNPCC7942_1984|	3774171		['SYNPCC7942_RS10060']	['SYNPCC7942_RS10060', 'crtB']	['|SYNPCC7942_1984-MONOMER|']	[]
|YNL277W|	855444		[]	['met2']	['|YNL277W-MONOMER|']	['|ENZYME|']
|G-9548|			[]	['LCD', 'LCO']	['|MONOMER-12416|']	['|ENZYME|']
|G-18027|			[]	['mdo', 'ddiox']	['|MONOMER-18554|']	[]
